PlayerKey,StrikerName,Nationality,TeamCode,Extras,TotalRuns,Balls,Dotballs,DBPercent,DBFreq,BdryFreq,BdryPercent,RPSS,ScoringBalls,Outs,NotOuts,BattingAveragesss,FiftyPlusRuns,Centuries,DoubleCenturies,HighestScore,BattingAverage,Catches,Stumpings,Id,Player_Name,Team,Credit_Point,Role,Speciality,RightHandedBat,Matches,Innings,StrikeRate,Ones,Twos,Threes,Fours,Sixes,BowlerName,LegalBallsBowled,TotalRunsConceded,DotBallsBowled,DotBallPercent,ScoringBallsBowled,BowlingAverage,BowlingSR,BoundaryPercentage,BoundaryFrequency,EconomyRate,OversBowled,Wides,NoBalls,Byes,LegBye,Wickets,InningsRuns,InningsWickets,MatchRuns,MatchWickets,BBIW,BBMW,Maidens,MaidenWickets,FourWickets,FiveWickets,TenWickets
abishekporel,Abishek Porel,Indian,DC,4.0,265.0,177.0,48.0,27.11,3.68,4.91,61.13,2.05,129.0,10.0,1.0,265.0,1.0,0.0,0.0,51,26.50,2.0,0.0,29.0,Abishek Porel,DC,7.5,WK,,False,11.0,11.0,149.71,83.0,10.0,0.0,27.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akashmadhwal,Akash Madhwal,Indian,RR,0.0,4.0,9.0,5.0,55.55,1.8,0.0,0.0,1.0,4.0,0.0,1.0,4.0,0.0,0.0,0.0,4*,-,0.0,0.0,25.0,Akash Madhwal,RR,6.0,BOWL,right arm fast medium,True,2.0,1.0,44.44,4.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anshulkamboj,Anshul Kamboj,Indian,CSK,1.0,9.0,9.0,5.0,55.55,1.8,9.0,44.44,2.25,4.0,2.0,2.0,4.5,0.0,0.0,0.0,4*,4.50,0.0,0.0,23.0,Anshul Kamboj,CSK,6.5,BOWL,right arm medium,True,6.0,4.0,100.0,1.0,2.0,0.0,1.0,0.0,Anshul Kamboj,96.0,138.0,39.0,40.62,58.0,34.5,24.0,69.56,4.57,8.62,16.0,0.0,1.0,0.0,1.0,4.0,16.0,1.0,16.0,1.0,16/1,16/1,0.0,0.0,0.0,0.0,0.0
ashutoshsharma,Ashutosh Sharma,Indian,DC,15.0,186.0,111.0,31.0,27.92,3.58,4.44,66.66,2.32,80.0,6.0,2.0,93.0,1.0,0.0,0.0,66*,31.00,2.0,0.0,35.0,Ashutosh Sharma,DC,7.0,BAT,,True,10.0,8.0,167.56,48.0,7.0,0.0,13.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ashwanikumar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ashwani Kumar,72.0,133.0,22.0,30.55,54.0,16.62,9.0,70.67,3.78,11.08,12.0,3.0,1.0,0.0,1.0,8.0,24.0,4.0,24.0,4.0,24/4,24/4,0.0,0.0,1.0,0.0,0.0
axarpatel,Axar Patel,Indian,DC,5.0,238.0,151.0,50.0,33.11,3.02,4.31,70.58,2.35,101.0,9.0,1.0,238.0,0.0,0.0,0.0,43,26.44,4.0,0.0,38.0,Axar Patel,DC,8.5,AR,Slow left-arm orthodox,False,11.0,10.0,157.61,62.0,4.0,0.0,21.0,14.0,Axar Patel,186.0,253.0,60.0,32.25,129.0,50.6,37.2,58.49,6.0,8.16,31.0,3.0,0.0,1.0,0.0,5.0,19.0,2.0,19.0,2.0,19/2,19/2,0.0,0.0,0.0,0.0,0.0
ayushmhatre,Ayush Mhatre,Indian,CSK,3.0,163.0,90.0,26.0,28.88,3.46,3.33,74.84,2.54,64.0,5.0,0.0,,1.0,0.0,0.0,94,32.60,3.0,0.0,4.0,Ayush Mhatre,CSK,7.0,BAT,,True,5.0,5.0,181.11,33.0,4.0,0.0,20.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corbinbosch,Corbin Bosch,Overseas,MI,0.0,47.0,32.0,12.0,37.5,2.66,5.33,63.82,2.35,20.0,2.0,0.0,,0.0,0.0,0.0,27,23.50,2.0,0.0,41.0,Corbin Bosch,MI,6.5,AR,Right-arm fast medium,True,2.0,2.0,146.87,11.0,3.0,0.0,3.0,3.0,Corbin Bosch,42.0,55.0,24.0,57.14,21.0,55.0,42.0,72.72,5.25,7.85,7.0,3.0,0.0,0.0,1.0,1.0,26.0,1.0,26.0,1.0,26/1,26/1,0.0,0.0,0.0,0.0,0.0
deepakchahar,Deepak Chahar,Indian,MI,1.0,37.0,25.0,9.0,36.0,2.77,5.0,64.86,2.31,16.0,1.0,3.0,12.33,0.0,0.0,0.0,28*,37.00,2.0,0.0,45.0,Deepak Chahar,MI,7.5,BOWL,Right-arm medium,True,12.0,4.0,148.0,9.0,2.0,0.0,3.0,2.0,Deepak Chahar,210.0,326.0,90.0,42.85,136.0,32.6,21.0,66.25,4.37,9.31,35.0,14.0,2.0,0.0,2.0,10.0,12.0,2.0,12.0,2.0,12/2,12/2,0.0,0.0,0.0,0.0,0.0
devonconway,Devon Conway,Overseas,CSK,13.0,94.0,76.0,26.0,34.21,2.92,6.9,51.06,1.88,50.0,4.0,0.0,,1.0,0.0,0.0,69,23.50,2.0,0.0,10.0,Devon Conway,CSK,6.5,WK,,False,4.0,4.0,123.68,32.0,7.0,0.0,9.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dewaldbrevis,Dewald Brevis,Overseas,CSK,3.0,126.0,77.0,24.0,31.16,3.2,4.81,65.07,2.37,53.0,4.0,0.0,,1.0,0.0,0.0,52,31.50,5.0,0.0,6.0,Dewald Brevis,CSK,6.5,BAT,,True,4.0,4.0,163.63,30.0,7.0,0.0,7.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dhruvjurel,Dhruv Jurel,Indian,RR,8.0,249.0,170.0,55.0,32.35,3.09,5.31,63.45,2.16,115.0,8.0,3.0,83.0,1.0,0.0,0.0,70,31.13,6.0,0.0,9.0,Dhruv Jurel,RR,8.0,WK,,True,12.0,11.0,146.47,75.0,8.0,0.0,17.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dushmanthachameera,Dushmantha Chameera,Overseas,DC,1.0,2.0,4.0,2.0,50.0,2.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,2*,-,1.0,0.0,50.0,Dushmantha Chameera,DC,6.5,BOWL,Right-arm fast,True,4.0,2.0,50.0,2.0,0.0,0.0,0.0,0.0,Dushmantha Chameera,54.0,95.0,11.0,20.37,50.0,31.66,18.0,54.73,4.9,10.55,9.0,7.0,0.0,0.0,0.0,3.0,24.0,1.0,24.0,1.0,24/1,24/1,0.0,0.0,0.0,0.0,0.0
fafduplessis,Faf Du Plessis,Overseas,DC,20.0,168.0,131.0,49.0,37.4,2.67,5.95,60.71,2.04,82.0,6.0,0.0,,2.0,0.0,0.0,62,28.00,3.0,0.0,34.0,Faf Du Plessis,DC,7.5,BAT,,True,6.0,6.0,128.24,54.0,6.0,0.0,15.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fazalhaqfarooqi,Fazalhaq Farooqi,Overseas,RR,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,2*,-,0.0,0.0,24.0,Fazalhaq Farooqi,RR,6.5,BOWL,left arm fast medium,True,4.0,1.0,100.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hardikpandya,Hardik Pandya,Indian,MI,6.0,158.0,94.0,26.0,27.65,3.61,4.27,64.55,2.32,68.0,6.0,2.0,79.0,0.0,0.0,0.0,48*,26.33,2.0,0.0,37.0,Hardik Pandya,MI,9.0,AR,Right-arm medium fast,True,11.0,8.0,168.08,36.0,10.0,0.0,15.0,7.0,Hardik Pandya,168.0,257.0,59.0,35.11,127.0,19.76,12.92,59.92,5.25,9.17,28.0,15.0,3.0,1.0,2.0,13.0,36.0,5.0,36.0,5.0,36/5,36/5,0.0,0.0,0.0,1.0,0.0
jaspritbumrah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jasprit Bumrah,192.0,214.0,84.0,43.75,112.0,16.46,14.76,56.07,7.38,6.68,32.0,4.0,0.0,0.0,4.0,13.0,22.0,4.0,22.0,4.0,22/4,22/4,0.0,0.0,1.0,0.0,0.0
karnsharma,Karn Sharma,Indian,MI,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1*,-,1.0,0.0,47.0,Karn Sharma,MI,7.0,BOWL,Leg break googly,False,5.0,1.0,100.0,1.0,0.0,0.0,0.0,0.0,Karn Sharma,72.0,97.0,23.0,31.94,50.0,16.16,12.0,55.67,6.54,8.08,12.0,1.0,0.0,0.0,5.0,6.0,23.0,3.0,23.0,3.0,23/3,23/3,0.0,0.0,0.0,0.0,0.0
khaleelahmed,Khaleel Ahmed,Indian,CSK,0.0,1.0,2.0,1.0,50.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,0.5,0.0,0.0,0.0,1*,-,1.0,0.0,19.0,Khaleel Ahmed,CSK,8.0,BOWL,left arm fast medium,True,12.0,2.0,50.0,1.0,0.0,0.0,0.0,0.0,Khaleel Ahmed,244.0,395.0,119.0,48.77,134.0,28.21,17.42,78.98,3.69,9.71,40.4,6.0,3.0,1.0,5.0,14.0,29.0,3.0,29.0,3.0,29/3,29/3,0.0,0.0,0.0,0.0,0.0
klrahul,K L Rahul,Indian,DC,11.0,381.0,268.0,76.0,28.35,3.52,5.82,56.69,1.98,192.0,8.0,2.0,190.5,3.0,0.0,0.0,93*,47.63,3.0,0.0,28.0,K L Rahul,DC,9.0,WK,,True,10.0,10.0,142.16,127.0,19.0,0.0,30.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kuldeepyadav,Kuldeep Yadav,Indian,DC,0.0,11.0,8.0,3.0,37.5,2.66,4.0,72.72,2.2,5.0,2.0,2.0,5.5,0.0,0.0,0.0,5,5.50,0.0,0.0,43.0,Kuldeep Yadav,DC,8.5,BOWL,Left-arm wrist spin,False,11.0,4.0,137.5,3.0,0.0,0.0,2.0,0.0,Kuldeep Yadav,234.0,263.0,87.0,37.17,149.0,21.91,19.5,47.14,8.66,6.74,39.0,2.0,0.0,0.0,1.0,12.0,22.0,3.0,22.0,3.0,22/3,22/3,0.0,0.0,0.0,0.0,0.0
maheeshtheekshana,Maheesh Theekshana,Overseas,RR,4.0,10.0,27.0,17.0,62.96,1.58,0.0,0.0,1.0,10.0,2.0,2.0,5.0,0.0,0.0,0.0,5,5.00,0.0,0.0,21.0,Maheesh Theekshana,RR,7.0,BOWL,off break,True,11.0,4.0,37.03,10.0,0.0,0.0,0.0,0.0,Maheesh Theekshana,252.0,410.0,72.0,28.57,199.0,37.27,22.9,58.53,4.75,9.76,42.0,17.0,2.0,0.0,2.0,11.0,26.0,2.0,26.0,2.0,26/2,26/2,0.0,0.0,0.0,0.0,0.0
