StrikerName,PlayerId,Matches,PlayerDOB,RightHandedBat,Nationality,TCompetitionID,TStrikerID,TTeamID,TeamCode,TeamName,CompetitionID,TeamID,StrikerID,Innings,Extras,TotalRuns,Balls,Dotballs,StrikeRate,DBPercent,DBFreq,BdryFreq,BdryPercent,RPSS,ScoringBalls,Ones,Twos,Threes,Fours,Sixes,Outs,NotOuts,BattingAveragesss,FiftyPlusRuns,Centuries,DoubleCenturies,HighestScore,BattingAverage,Catches,Stumpings,ClientPlayerID
Vipraj Nigam,3560,11,0000-00-00,true,Indian,203,2024-100mb00000003560-cd0dc81babd711,14,DC,Delhi Capitals,203,14,2024-100mb00000003560-cd0dc81babd711,7,5,122,68,22,179.41,32.35,3.09,3.57,73.77,2.65,46,24,2,0,12,7,6,1,122.00,0,0,0,39,20.33,2,0,22053
Ruturaj Gaikwad,102,5,0000-00-00,true,Indian,203,2019-100mb00000000102-28e7fca043fc11,13,CSK,Chennai Super Kings,203,13,2019-100mb00000000102-28e7fca043fc11,5,1,122,81,30,150.61,37.03,2.70,4.50,65.57,2.39,51,25,7,1,14,4,5,0,NA,2,0,0,63,24.40,3,0,5443
Vijay Shankar,61,6,0000-00-00,true,Indian,203,2019-100mb00000000061-6d68257c17f311,13,CSK,Chennai Super Kings,203,13,2019-100mb00000000061-6d68257c17f311,5,6,118,91,23,129.67,25.27,3.95,8.27,42.37,1.73,68,46,11,0,8,3,3,2,59.00,1,0,0,69*,39.33,2,0,1083
Sam Curran,138,5,0000-00-00,false,Overseas,203,2019-100mb00000000138-5bd8fcf6449d11,13,CSK,Chennai Super Kings,203,13,2019-100mb00000000138-5bd8fcf6449d11,5,7,114,84,28,135.71,33.33,3.00,5.60,59.64,2.03,56,36,5,0,11,4,5,0,NA,1,0,0,88,22.80,3,0,2939
Shubham Dubey,3112,8,0000-00-00,false,Indian,203,2024-100mb00000003112-76787b7ddf9f11,18,RR,Rajasthan Royals,203,18,2024-100mb00000003112-76787b7ddf9f11,7,2,99,59,20,167.79,33.89,2.95,4.21,72.72,2.53,39,23,2,0,6,8,4,3,33.00,0,0,0,34*,24.75,1,0,20688
Krunal Pandya,17,11,0000-00-00,false,Indian,203,2018-100mb00000000017-5e389774e99c11,19,RCB,Royal Challengers Bengaluru,203,19,2018-100mb00000000017-5e389774e99c11,5,4,97,75,28,129.33,37.33,2.67,6.81,53.60,2.06,47,27,9,0,7,4,4,1,97.00,1,0,0,73*,24.25,3,0,3183
Devon Conway,601,4,0000-00-00,false,Overseas,203,2021-100mb00000000601-517399b0ceaf11,13,CSK,Chennai Super Kings,203,13,2021-100mb00000000601-517399b0ceaf11,4,13,94,76,26,123.68,34.21,2.92,6.90,51.06,1.88,50,32,7,0,9,2,4,0,NA,1,0,0,69,23.50,2,0,20572
Josh Inglis,647,6,0000-00-00,true,Overseas,203,2021-100mb00000000647-9259e0ee2fe911,15,PBKS,Punjab Kings,203,15,2021-100mb00000000647-9259e0ee2fe911,6,2,92,66,26,139.39,39.39,2.53,5.07,67.39,2.30,40,24,3,0,8,5,4,2,46.00,0,0,0,30,23.00,5,1,22372
Shahrukh Khan,590,11,0000-00-00,true,Indian,203,2021-100mb00000000590-85eaa6f291e011,35,GT,Gujarat Titans,203,35,2021-100mb00000000590-85eaa6f291e011,8,9,90,49,14,183.67,28.57,3.50,3.76,73.33,2.57,35,20,2,0,6,7,3,5,18.00,0,0,0,36,30.00,4,0,7779
Liam Livingstone,183,7,0000-00-00,true,Overseas,203,2019-100mb00000000183-f4a991db44b611,19,RCB,Royal Challengers Bengaluru,203,19,2019-100mb00000000183-f4a991db44b611,6,2,87,68,31,127.94,45.58,2.19,6.18,66.66,2.35,37,23,3,0,4,7,5,1,87.00,1,0,0,54,17.40,3,0,3644
Washington Sundar,20,5,0000-00-00,false,Indian,203,2018-100mb00000000020-9223b16ce99c11,35,GT,Gujarat Titans,203,35,2018-100mb00000000020-9223b16ce99c11,4,4,85,56,12,151.78,21.42,4.66,6.22,51.76,1.93,44,30,4,1,5,4,4,0,NA,0,0,0,49,21.25,2,0,2973
Pat Cummins,33,11,0000-00-00,true,Overseas,203,2018-100mb00000000033-d93110bbf88911,20,SRH,Sunrisers Hyderabad,203,20,2018-100mb00000000033-d93110bbf88911,8,4,84,52,18,161.53,34.61,2.88,4.33,71.42,2.47,34,20,2,0,6,6,4,4,21.00,0,0,0,22*,21.00,5,0,488
Marcus Stoinis,23,8,0000-00-00,true,Overseas,203,2018-100mb00000000023-201fd633e99d11,15,PBKS,Punjab Kings,203,15,2018-100mb00000000023-201fd633e99d11,7,5,82,49,20,167.34,40.81,2.45,4.45,73.17,2.82,29,14,4,0,3,8,4,3,27.33,0,0,0,34*,20.50,0,0,964
Marco Jansen,586,11,0000-00-00,true,Overseas,203,2021-100mb00000000586-8238f85f91de11,15,PBKS,Punjab Kings,203,15,2021-100mb00000000586-8238f85f91de11,7,7,75,61,19,122.95,31.14,3.21,8.71,48.00,1.78,42,31,4,0,3,4,3,4,18.75,0,0,0,34*,25.00,4,0,17068
Rahmanullah Gurbaz,641,5,0000-00-00,true,Overseas,203,2021-100mb00000000641-324bd4322fe511,16,KKR,Kolkata Knight Riders,203,16,2021-100mb00000000641-324bd4322fe511,5,2,74,53,25,139.62,47.16,2.12,4.07,78.37,2.64,28,14,1,0,10,3,4,1,74.00,0,0,0,35,18.50,2,0,20625
Shaik Rasheed,778,5,2004-09-24,true,Indian,203,20212e70112c5d7811ec9c9202ea608,13,CSK,Chennai Super Kings,203,13,20212e70112c5d7811ec9c9202ea608,5,5,71,63,34,112.69,53.96,1.85,5.72,67.60,2.44,29,13,5,0,9,2,5,0,NA,0,0,0,27,14.20,1,0,5612
Rahul Tewatia,120,11,0000-00-00,false,Indian,203,2019-100mb00000000120-7489ddcc449711,35,GT,Gujarat Titans,203,35,2019-100mb00000000120-7489ddcc449711,9,3,67,35,11,191.42,31.42,3.18,3.50,77.61,2.79,24,13,1,0,4,6,6,3,22.33,0,0,0,24*,11.17,4,0,1749
