StrikerName,PlayerId,Matches,PlayerDOB,RightHandedBat,Nationality,TCompetitionID,TStrikerID,TTeamID,TeamCode,TeamName,CompetitionID,TeamID,StrikerID,Innings,Extras,TotalRuns,Balls,Dotballs,StrikeRate,DBPercent,DBFreq,BdryFreq,BdryPercent,RPSS,ScoringBalls,Ones,Twos,Threes,Fours,Sixes,Outs,NotOuts,BattingAveragesss,FiftyPlusRuns,Centuries,DoubleCenturies,HighestScore,BattingAverage,Catches,Stumpings,ClientPlayerID,Credit
Rishabh Pant,18,11,0000-00-00,False,Indian,203,2018-100mb00000000018-6e65e6f7e99c11,77,LSG,Lucknow Super Giants,203,77,2018-100mb00000000018-6e65e6f7e99c11,10,9,128,129,68,99.22,52.71,1.89,7.58,62.5,2.09,61,40,4,0,11,6,10,0,,1,0,0,63,12.80,4,1,2972,8.0
Dewald Brevis,797,4,2003-04-29,True,Overseas,203,202265c5509b72a911ec8ab502ab46c,13,CSK,Chennai Super Kings,203,13,202265c5509b72a911ec8ab502ab46c,4,3,126,77,24,163.63,31.16,3.2,4.81,65.07,2.37,53,30,7,0,7,9,4,0,,1,0,0,52,31.50,5,0,20593,8.0
Vipraj Nigam,3560,11,0000-00-00,True,Indian,203,2024-100mb00000003560-cd0dc81babd711,14,DC,Delhi Capitals,203,14,2024-100mb00000003560-cd0dc81babd711,7,5,122,68,22,179.41,32.35,3.09,3.57,73.77,2.65,46,24,2,0,12,7,6,1,122.0,0,0,0,39,20.33,2,0,22053,8.0
Ruturaj Gaikwad,102,5,0000-00-00,True,Indian,203,2019-100mb00000000102-28e7fca043fc11,13,CSK,Chennai Super Kings,203,13,2019-100mb00000000102-28e7fca043fc11,5,1,122,81,30,150.61,37.03,2.7,4.5,65.57,2.39,51,25,7,1,14,4,5,0,,2,0,0,63,24.40,3,0,5443,8.0
Vijay Shankar,61,6,0000-00-00,True,Indian,203,2019-100mb00000000061-6d68257c17f311,13,CSK,Chennai Super Kings,203,13,2019-100mb00000000061-6d68257c17f311,5,6,118,91,23,129.67,25.27,3.95,8.27,42.37,1.73,68,46,11,0,8,3,3,2,59.0,1,0,0,69*,39.33,2,0,1083,8.0
Sam Curran,138,5,0000-00-00,False,Overseas,203,2019-100mb00000000138-5bd8fcf6449d11,13,CSK,Chennai Super Kings,203,13,2019-100mb00000000138-5bd8fcf6449d11,5,7,114,84,28,135.71,33.33,3.0,5.6,59.64,2.03,56,36,5,0,11,4,5,0,,1,0,0,88,22.80,3,0,2939,8.0
Shubham Dubey,3112,8,0000-00-00,False,Indian,203,2024-100mb00000003112-76787b7ddf9f11,18,RR,Rajasthan Royals,203,18,2024-100mb00000003112-76787b7ddf9f11,7,2,99,59,20,167.79,33.89,2.95,4.21,72.72,2.53,39,23,2,0,6,8,4,3,33.0,0,0,0,34*,24.75,1,0,20688,8.0
Krunal Pandya,17,11,0000-00-00,False,Indian,203,2018-100mb00000000017-5e389774e99c11,19,RCB,Royal Challengers Bengaluru,203,19,2018-100mb00000000017-5e389774e99c11,5,4,97,75,28,129.33,37.33,2.67,6.81,53.6,2.06,47,27,9,0,7,4,4,1,97.0,1,0,0,73*,24.25,3,0,3183,8.0
Devon Conway,601,4,0000-00-00,False,Overseas,203,2021-100mb00000000601-517399b0ceaf11,13,CSK,Chennai Super Kings,203,13,2021-100mb00000000601-517399b0ceaf11,4,13,94,76,26,123.68,34.21,2.92,6.9,51.06,1.88,50,32,7,0,9,2,4,0,,1,0,0,69,23.50,2,0,20572,8.0
Josh Inglis,647,6,0000-00-00,True,Overseas,203,2021-100mb00000000647-9259e0ee2fe911,15,PBKS,Punjab Kings,203,15,2021-100mb00000000647-9259e0ee2fe911,6,2,92,66,26,139.39,39.39,2.53,5.07,67.39,2.3,40,24,3,0,8,5,4,2,46.0,0,0,0,30,23.00,5,1,22372,8.0
