PlayerID,MatchPlayingOrder,BowlerName,OutDesc,ShortOutDesc,Runs,Balls,DotBalls,DotBallPercentage_Bat,DotBallFrequency_Bat,Fours_Bat,Sixes_Bat,BoundaryPercentage_Bat,BoundaryFrequency_Bat,StrikeRate_Bat,AgainstFast_Bat,AgainstSpin_Bat,PlayerShortName,Overs,Runs_bat,Wickets,Economy_bowl,BowlingOrder,TotalLegalBallsBowled,ScoringBalls,DotBalls_bowl,DBPercent _bowl,DBFrequency,Fours_bowl,Sixes_bowl,BdryPercent_bowl,BdryFreq_bowl,StrikeRate,FourPercent_bowl,SixPercent_bowl,MatchID,InningsNo,TeamID,PlayerName
2018-100mb00000000044-e03a43dbf88a11,1.0,Riyan Parag,c Dhruv Jurel b Riyan Parag,c Dhruv Jurel b Riyan Parag,30.0,24.0,8.0,33.33,3.00,1.0,2.0,53.33,8.00,125.00,6.0,18.0,,,,,,,,,,,,,,,,,,,1851.0,1.0,16.0,Ajinkya Rahane (c)
2019-100mb00000000062-8fa4884a17f311,1.0,Avesh Khan,c Abdul Samad b Avesh Khan,c Abdul Samad b Avesh Khan,35.0,20.0,7.0,35.00,2.86,7.0,0.0,80.00,2.86,175.00,15.0,5.0,,,,,,,,,,,,,,,,,,,1862.0,2.0,35.0,Shubman Gill (c)
2019-100mb00000000063-d9aa7a01187311,10.0,,,,0.0,0.0,0.0,,,0.0,0.0,,,-,0.0,0.0,,,,,,,,,,,,,,,,,,,1862.0,2.0,35.0,Mohammed Siraj 
2019-100mb00000000109-5cc123ab449411,,,,,,,,,,,,,,,,,Avesh Khan,3.5,51.0,2.0,13.3,4.0,23.0,19.0,4.0,17.39,5.75,5.0,3.0,74.51,2.88,11.50,39.22,35.29,1862.0,2.0,77.0,Avesh Khan
2019-100mb00000000116-dbd48930449611,8.0,Ayush Badoni,b Ayush Badoni,b Ayush Badoni,2.0,3.0,1.0,33.33,3.00,0.0,0.0,0.00,,66.67,1.0,2.0,,,,,,,,,,,,,,,,,,,1862.0,2.0,35.0,Kagiso Rabada 
2019-100mb00000000120-7489ddcc449711,5.0,William O Rourke,c Himmat Singh b William O Rourke,c Himmat Singh b William O Rourke,2.0,3.0,1.0,33.33,3.00,0.0,0.0,0.00,,66.67,3.0,0.0,,,,,,,,,,,,,,,,,,,1862.0,2.0,35.0,Rahul Tewatia 
2019-100mb00000000122-ba35f672449711,3.0,William O Rourke,c (Sub) Ravi Bishnoi b William O Rourke,c (Sub) Ravi Bishnoi b William O Rourke,38.0,22.0,5.0,22.73,4.40,1.0,3.0,57.89,5.50,172.73,14.0,8.0,,,,,,,,,,,,,,,,,,,1862.0,2.0,35.0,Sherfane Rutherford 
2019-100mb00000000140-a41b85f2449d11,10.0,,,,0.0,0.0,0.0,,,0.0,0.0,,,-,0.0,0.0,,,,,,,,,,,,,,,,,,,1851.0,1.0,16.0,Varun Chakaravarthy 
2019-100mb00000000141-e67c41d144a711,8.0,,not out,not out,57.0,25.0,10.0,40.00,2.50,4.0,6.0,91.23,2.50,228.00,14.0,11.0,,,,,,,,,,,,,,,,,,,1851.0,1.0,16.0,Andre Russell 
2019-100mb00000000150-3a51ee2844a911,11.0,,,,0.0,0.0,0.0,,,0.0,0.0,,,-,0.0,0.0,,,,,,,,,,,,,,,,,,,1862.0,2.0,35.0,Prasidh Krishna  (RP)
