BowlerName,RightHandedBat,TeamCode,Matches,Innings_Bowler,PlayerId,TotalRunsConceded,DotBallPercent_Bowler,BowlingAverage,StrikeRate_Bowler,BoundaryPercentage_Bowler,BoundaryFrequency,EconomyRate,OversBowled,Wickets_Bowler,FourWickets
Andre Russell,true,KKR,12,8,2019-100mb00000000141-e67c41d144a711,183,27.83,22.87,12.12,73.22,3.46,11.31,16.1,8,0
Mitchell Santner,false,MI,10,10,2019-100mb00000000075-0984e17e1e4011,247,35.38,35.28,27.85,53.44,6.72,7.60,32.3,7,0
Harpreet Brar,false,PBKS,5,4,2019-100mb00000000130-89338eb7449a11,95,38.88,13.57,10.28,63.15,5.53,7.91,12.0,7,0
Karn Sharma,false,MI,6,5,2019-100mb00000000098-7a8c366b43f611,128,30.00,18.28,12.85,57.81,6.00,8.53,15.0,7,0
Ravichandran Ashwin,true,CSK,9,9,2018-100mb00000000045-f658f1b6f88a11,283,30.64,40.42,26.57,63.60,5.16,9.12,31.0,7,0
Will Jacks,true,MI,12,7,2023-100mb00000001941-9401571cc40411,109,38.46,18.16,13.00,58.71,5.57,8.38,13.0,6,0
Moeen Ali,false,KKR,6,5,2019-100mb00000000206-501d92f644bb11,136,30.20,22.66,16.00,54.41,6.85,8.50,16.0,6,0
Vignesh Puthur,true,MI,5,5,2024-100mb00000003566-b0cbccf8abdb11,109,33.33,18.16,12.00,64.22,5.53,9.08,12.0,6,0
Mohd Arshad Khan,false,GT,8,8,2022-100mb00000000988-ad5c752aa44a11,175,42.10,29.16,19.00,68.57,4.22,9.21,19.0,6,0
Zeeshan Ansari,true,SRH,10,10,2024-100mb00000003575-83bb5544abdf11,333,23.64,55.50,33.83,59.45,4.95,9.84,33.5,6,0
Mohammad Shami,true,SRH,9,9,2018-100mb00000000047-1bfc8ff2f88b11,337,33.33,56.16,30.00,77.74,3.15,11.23,30.0,6,0
Anshul Kamboj,true,CSK,7,7,2024-100mb00000003106-047b3989df9b11,159,41.22,31.80,22.80,69.18,4.75,8.36,19.0,5,0
Axar Patel,false,DC,12,11,2019-100mb00000000110-79ae08f5449411,288,31.86,57.60,40.80,61.11,5.51,8.47,34.0,5,0
Suyash Sharma,true,RCB,11,11,2023-100mb00000001932-5539f1d7c3fd11,367,32.93,73.40,50.40,63.21,5.04,8.73,42.0,5,0
Lockie Ferguson,true,PBKS,4,4,2019-100mb00000000069-7aeb5c411e3711,104,41.17,20.80,13.60,59.61,5.66,9.17,11.2,5,0
Azmatullah Omarzai,true,PBKS,5,4,2022-100mb00000001354-5a766b041e0411,145,32.14,29.00,16.80,60.68,4.66,10.35,14.0,5,0
Glenn Maxwell,true,PBKS,7,6,2018-100mb00000000028-acc7d0a3e99d11,110,35.89,27.50,19.50,60.00,5.57,8.46,13.0,4,0
William O Rourke,true,LSG,2,2,2024-100mb00000003398-bea9776874df11,58,31.57,14.50,9.50,68.96,4.22,9.15,6.2,4,0
Aiden Markram,true,LSG,13,5,2019-100mb00000000287-ca1a6bb17ae311,102,22.72,25.50,16.50,52.94,6.60,9.27,11.0,4,0
Lungisani Ngidi,true,RCB,2,2,2019-100mb00000000099-b2d4548e43f611,81,27.08,20.25,12.00,64.19,4.36,10.12,8.0,4,0
Akash Madhwal,true,RR,4,4,2022-100mb00000001045-ff63138dd51a11,166,25.55,41.50,22.50,66.26,3.75,11.06,15.0,4,0
Ishant Sharma,true,GT,7,7,2018-100mb00000000050-4663b710f88b11,205,31.81,51.25,27.50,72.19,3.43,11.18,18.2,4,0
Dushmantha Chameera,true,DC,6,5,2021-100mb00000000608-14fdf8c4e64711,171,22.22,42.75,22.50,63.15,4.09,11.40,15.0,4,0
Yudhvir Singh Charak,true,RR,4,4,2021-100mb00000000587-d15a3db891de11,131,39.39,32.75,16.50,79.38,3.00,11.90,11.0,4,0
Akash Singh,true,LSG,2,2,2020-100mb00000000535-66ae8e79639911,59,32.55,19.66,14.33,64.40,4.77,8.23,7.1,3,0
