StrikerName,Matches,TeamCode,Innings_Bat,TotalRuns_Bat,Balls_Bat,StrikeRate_Bat,DBPercent_Bat,BdryPercent_Bat,Outs_Bat,FiftyPlusRuns_Bat,BattingAverage,Catches,Stumpings
Krunal Pandya,12,RCB,6,105,81,129.62,39.50,57.14,5,1,21.00,4,0
Devon Conway,5,CSK,5,104,84,123.80,36.90,53.84,5,1,20.80,2,0
Pat Cummins,13,SRH,9,97,58,167.24,32.75,68.04,4,0,24.25,5,0
Josh Inglis,6,PBKS,6,92,66,139.39,39.39,67.39,4,0,23.00,5,1
Kamindu Mendis,5,SRH,5,92,69,133.33,31.88,43.47,3,0,30.67,1,0
Liam Livingstone,7,RCB,6,87,68,127.94,45.58,66.66,5,1,17.40,3,0
Washington Sundar,5,GT,4,85,56,151.78,21.42,51.76,4,0,21.25,2,0
Marcus Stoinis,8,PBKS,7,82,49,167.34,40.81,73.17,4,0,20.50,0,0
Marco Jansen,12,PBKS,7,75,61,122.95,31.14,48.00,3,0,25.00,5,0
Rahmanullah Gurbaz,5,KKR,5,74,53,139.62,47.16,78.37,4,0,18.50,2,0
Shaik Rasheed,5,CSK,5,71,63,112.69,53.96,67.60,5,0,14.20,1,0
Rahul Tewatia,13,GT,10,69,38,181.57,31.57,75.36,7,0,9.86,4,0
Jacob Bethell,2,RCB,2,67,39,171.79,35.89,80.59,2,1,33.50,1,0
Jofra Archer,12,RR,7,63,50,126.00,40.00,57.14,6,0,10.50,1,0
Sameer Rizvi,4,DC,3,63,54,116.66,48.14,69.84,3,0,21.00,1,0
Abhinav Manohar,7,SRH,5,61,61,100.00,47.54,52.45,5,0,12.20,5,0
Manish Pandey,2,KKR,2,55,42,130.95,26.19,43.63,1,0,55.00,0,0
Jake Fraser - McGurk,6,DC,6,55,52,105.76,59.61,72.72,6,0,9.17,3,0
Rahul Tripathi,5,CSK,5,55,57,96.49,47.36,54.54,5,0,11.00,1,0
Romario Shepherd,5,RCB,2,53,15,353.33,26.66,98.11,1,1,53.00,4,0
Glenn Maxwell,7,PBKS,6,48,49,97.95,46.93,54.16,6,0,8.00,5,0
Corbin Bosch,2,MI,2,47,32,146.87,37.50,63.82,2,0,23.50,2,0
Mitchell Santner,10,MI,5,39,29,134.48,41.37,66.66,2,0,19.50,6,0
Azmatullah Omarzai,5,PBKS,2,37,24,154.16,50.00,86.48,1,0,37.00,0,0
Deepak Chahar,13,MI,4,37,25,148.00,36.00,64.86,1,0,37.00,2,0
Ramandeep Singh,10,KKR,6,34,30,113.33,33.33,47.05,4,0,8.50,5,0
Ravichandran Ashwin,9,CSK,4,33,30,110.00,43.33,54.54,4,0,8.25,3,0
Urvil Patel,2,CSK,2,31,13,238.46,38.46,90.32,2,0,15.50,0,0
Deepak Hooda,6,CSK,5,31,41,75.60,58.53,45.16,5,0,6.20,3,0
Rashid Khan,13,GT,6,28,18,155.55,38.88,57.14,4,0,7.00,4,0
Harshit Rana,12,KKR,6,23,32,71.87,65.62,52.17,3,0,7.67,6,0
Avesh Khan,12,LSG,4,21,12,175.00,50.00,85.71,1,0,21.00,2,0
Harshal Patel,12,SRH,4,21,26,80.76,26.92,0.00,2,0,10.50,3,0
Shardul Thakur,10,LSG,5,18,12,150.00,41.66,66.66,3,0,6.00,4,0
Kuldeep Yadav,13,DC,5,18,16,112.50,37.50,44.44,3,0,6.00,0,0
Jamie Overton,3,CSK,2,15,7,214.28,28.57,66.66,0,0,-,0,0
Anshul Kamboj,7,CSK,5,14,12,116.66,50.00,57.14,2,0,7.00,0,0
Atharva Taide,1,SRH,1,13,9,144.44,55.55,92.30,1,0,13.00,0,0
Ravi Bishnoi,11,LSG,3,13,16,81.25,81.25,92.30,2,0,6.50,5,0
Bhuvneshwar Kumar,11,RCB,5,13,23,56.52,65.21,30.76,2,0,6.50,3,0
Gerald Coetzee,2,GT,1,12,6,200.00,33.33,83.33,1,0,12.00,0,0
Mayank Agarwal,1,RCB,1,11,10,110.00,30.00,36.36,1,0,11.00,0,0
Xavier Bartlett,4,PBKS,1,11,15,73.33,46.66,36.36,1,0,11.00,5,0
Mohammad Shami,9,SRH,4,10,10,100.00,40.00,40.00,1,0,10.00,2,0
Dushmantha Chameera,6,DC,3,10,14,71.42,28.57,0.00,0,0,-,1,0
Maheesh Theekshana,11,RR,4,10,27,37.03,62.96,0.00,2,0,5.00,0,0
Kagiso Rabada,4,GT,2,9,8,112.50,50.00,66.66,1,0,9.00,0,0
Shahbaz Ahmed,2,LSG,1,9,8,112.50,25.00,44.44,1,0,9.00,0,0
Wiaan Mulder,1,SRH,1,9,11,81.81,45.45,44.44,1,0,9.00,1,0
Wanindu Hasaranga,11,RR,5,9,15,60.00,53.33,0.00,5,0,1.80,2,0
Kwena Maphaka,2,RR,1,8,2,400.00,0.00,100.00,0,0,-,2,0
Tushar Deshpande,10,RR,4,7,8,87.50,37.50,0.00,1,0,7.00,2,0
Suryansh Shedge,5,PBKS,3,7,11,63.63,45.45,0.00,3,0,2.33,1,0
Noor Ahmad,13,CSK,6,7,17,41.17,70.58,0.00,4,0,1.75,2,0
Akash Deep,6,LSG,2,6,2,300.00,50.00,100.00,1,0,6.00,0,0
Sandeep Sharma,10,RR,1,6,5,120.00,0.00,0.00,0,0,-,0,0
Mitchell Starc,11,DC,6,6,10,60.00,40.00,0.00,2,0,3.00,7,0
Robin Minz,2,MI,2,6,15,40.00,66.66,0.00,2,0,3.00,0,0
Rovman Powell,2,KKR,1,5,5,100.00,60.00,80.00,1,0,5.00,1,0
Prince Yadav,6,LSG,2,5,10,50.00,50.00,0.00,0,0,-,2,0
Moeen Ali,6,KKR,2,5,14,35.71,64.28,0.00,2,0,2.50,2,0
Lockie Ferguson,4,PBKS,1,4,1,400.00,0.00,100.00,0,0,-,0,0
Akash Madhwal,4,RR,1,4,9,44.44,55.55,0.00,0,0,-,0,0
Madhav Tiwari,1,DC,1,3,4,75.00,50.00,0.00,1,0,3.00,1,0
Kumar Kartikeya Singh,4,RR,2,3,5,60.00,60.00,0.00,2,0,1.50,0,0
Mohd Arshad Khan,8,GT,4,3,5,60.00,40.00,0.00,1,0,3.00,4,0
Yash Dayal,12,RCB,2,3,7,42.85,71.42,0.00,2,0,1.50,1,0
Simarjeet Singh,4,SRH,3,3,7,42.85,57.14,0.00,2,0,1.50,0,0
Fazalhaq Farooqi,5,RR,1,2,2,100.00,0.00,0.00,0,0,-,0,0
Trent Boult,13,MI,2,2,3,66.66,33.33,0.00,1,0,2.00,1,0
Sai Kishore,13,GT,2,2,3,66.66,33.33,0.00,2,0,1.00,4,0
Spencer Johnson,4,KKR,2,2,4,50.00,50.00,0.00,0,0,-,1,0
Arshdeep Singh,12,PBKS,2,2,6,33.33,66.66,0.00,1,0,2.00,1,0
Varun Chakaravarthy,12,KKR,1,1,1,100.00,0.00,0.00,0,0,-,2,0
V Satyanarayana Penmetsa,2,MI,1,1,1,100.00,0.00,0.00,0,0,-,1,0
Karn Sharma,6,MI,1,1,1,100.00,0.00,0.00,0,0,-,1,0
Khaleel Ahmed,13,CSK,2,1,2,50.00,50.00,0.00,0,0,-,1,0
Mohit Sharma,7,DC,2,1,3,33.33,66.66,0.00,1,0,1.00,0,0
Donovan Ferreira,1,DC,1,1,3,33.33,66.66,0.00,1,0,1.00,0,0
Digvesh Singh,12,LSG,2,1,3,33.33,66.66,0.00,1,0,1.00,2,0
Manoj Bhandage,1,RCB,1,1,4,25.00,75.00,0.00,1,0,1.00,1,0
