Id,Player_Name,Team,Credit_Point,Role,Speciality,BowlerName,RightHandedBat,Nationality,TeamCode,Matches,Innings,LegalBallsBowled,TotalRunsConceded,DotBallsBowled,DotBallPercent,ScoringBallsBowled,BowlingAverage,StrikeRate,BowlingSR,BoundaryPercentage,BoundaryFrequency,EconomyRate,OversBowled,Ones,Twos,Threes,Fours,Sixes,Wides,NoBalls,Byes,LegBye,Wickets,InningsRuns,InningsWickets,MatchRuns,MatchWickets,BBIW,BBMW,Maidens,MaidenWickets,FourWickets,FiveWickets,TenWickets
23,Anshul Kamboj,CSK,6.5,BOWL,right arm medium,Anshul Kamboj,True,Indian,CSK,6.0,6.0,96.0,138.0,39.0,40.62,58.0,34.5,24.0,24.0,69.56,4.57,8.62,16.0,31.0,5.0,0.0,15.0,6.0,0.0,1.0,0.0,1.0,4.0,16.0,1.0,16.0,1.0,16/1,16/1,0.0,0.0,0.0,0.0,0.0
37,Hardik Pandya,MI,9.0,AR,Right-arm medium fast,Hardik Pandya,True,Indian,MI,11.0,11.0,168.0,257.0,59.0,35.11,127.0,19.76,12.92,12.92,59.92,5.25,9.17,28.0,69.0,8.0,0.0,19.0,13.0,15.0,3.0,1.0,2.0,13.0,36.0,5.0,36.0,5.0,36/5,36/5,0.0,0.0,0.0,1.0,0.0
38,Axar Patel,DC,8.5,AR,Slow left-arm orthodox,Axar Patel,False,Indian,DC,11.0,10.0,186.0,253.0,60.0,32.25,129.0,50.6,37.2,37.2,58.49,6.0,8.16,31.0,88.0,7.0,0.0,19.0,12.0,3.0,0.0,1.0,0.0,5.0,19.0,2.0,19.0,2.0,19/2,19/2,0.0,0.0,0.0,0.0,0.0
39,Will Jacks,MI,8.0,AR,Off break,Will Jacks,True,Overseas,MI,11.0,6.0,72.0,93.0,28.0,38.88,48.0,18.6,14.4,14.4,53.76,6.54,7.75,12.0,29.0,4.0,0.0,8.0,3.0,4.0,0.0,0.0,0.0,5.0,14.0,2.0,14.0,2.0,14/2,14/2,0.0,0.0,0.0,0.0,0.0
40,Vipraj Nigam,DC,7.5,AR,Leg break,Vipraj Nigam,True,Indian,DC,11.0,10.0,162.0,256.0,57.0,35.18,113.0,28.44,18.0,18.0,64.84,4.9,9.48,27.0,65.0,10.0,0.0,16.0,17.0,4.0,4.0,0.0,4.0,9.0,18.0,2.0,18.0,2.0,18/2,18/2,0.0,0.0,0.0,0.0,0.0
41,Corbin Bosch,MI,6.5,AR,Right-arm fast medium,Corbin Bosch,True,Overseas,MI,2.0,2.0,42.0,55.0,24.0,57.14,21.0,55.0,42.0,42.0,72.72,5.25,7.85,7.0,8.0,2.0,0.0,4.0,4.0,3.0,0.0,0.0,1.0,1.0,26.0,1.0,26.0,1.0,26/1,26/1,0.0,0.0,0.0,0.0,0.0
42,Jasprit Bumrah,MI,9.0,BOWL,Right-arm fast,Jasprit Bumrah,True,Indian,MI,8.0,8.0,192.0,214.0,84.0,43.75,112.0,16.46,14.76,14.76,56.07,7.38,6.68,32.0,72.0,11.0,0.0,18.0,8.0,4.0,0.0,0.0,4.0,13.0,22.0,4.0,22.0,4.0,22/4,22/4,0.0,0.0,1.0,0.0,0.0
43,Kuldeep Yadav,DC,8.5,BOWL,Left-arm wrist spin,Kuldeep Yadav,False,Indian,DC,11.0,10.0,234.0,263.0,87.0,37.17,149.0,21.91,19.5,19.5,47.14,8.66,6.74,39.0,103.0,17.0,0.0,19.0,8.0,2.0,0.0,0.0,1.0,12.0,22.0,3.0,22.0,3.0,22/3,22/3,0.0,0.0,0.0,0.0,0.0
44,Trent Boult,MI,8.5,BOWL,Left-arm fast medium,Trent Boult,True,Overseas,MI,12.0,12.0,253.0,358.0,97.0,38.33,165.0,19.88,14.05,14.05,62.01,5.27,8.49,42.1,91.0,18.0,0.0,33.0,15.0,9.0,0.0,0.0,2.0,18.0,26.0,4.0,26.0,4.0,26/4,26/4,0.0,0.0,1.0,0.0,0.0
45,Deepak Chahar,MI,7.5,BOWL,Right-arm medium,Deepak Chahar,True,Indian,MI,12.0,12.0,210.0,326.0,90.0,42.85,136.0,32.6,21.0,21.0,66.25,4.37,9.31,35.0,59.0,13.0,1.0,36.0,12.0,14.0,2.0,0.0,2.0,10.0,12.0,2.0,12.0,2.0,12/2,12/2,0.0,0.0,0.0,0.0,0.0
46,Mukesh Kumar,DC,7.5,BOWL,Right-arm medium,Mukesh Kumar,True,Indian,DC,10.0,10.0,189.0,311.0,66.0,34.92,137.0,34.55,21.0,21.0,65.59,4.39,9.87,31.3,73.0,8.0,0.0,27.0,16.0,12.0,2.0,0.0,3.0,9.0,33.0,4.0,33.0,4.0,33/4,33/4,1.0,1.0,1.0,0.0,0.0
47,Karn Sharma,MI,7.0,BOWL,Leg break googly,Karn Sharma,False,Indian,MI,5.0,4.0,72.0,97.0,23.0,31.94,50.0,16.16,12.0,12.0,55.67,6.54,8.08,12.0,34.0,4.0,0.0,6.0,5.0,1.0,0.0,0.0,5.0,6.0,23.0,3.0,23.0,3.0,23/3,23/3,0.0,0.0,0.0,0.0,0.0
49,Ashwani Kumar,MI,6.5,BOWL,Left-arm medium,Ashwani Kumar,False,Indian,MI,4.0,4.0,72.0,133.0,22.0,30.55,54.0,16.62,9.0,9.0,70.67,3.78,11.08,12.0,27.0,4.0,0.0,10.0,9.0,3.0,1.0,0.0,1.0,8.0,24.0,4.0,24.0,4.0,24/4,24/4,0.0,0.0,1.0,0.0,0.0
50,Dushmantha Chameera,DC,6.5,BOWL,Right-arm fast,Dushmantha Chameera,True,Overseas,DC,4.0,3.0,54.0,95.0,11.0,20.37,50.0,31.66,18.0,18.0,54.73,4.9,10.55,9.0,28.0,4.0,0.0,7.0,4.0,7.0,0.0,0.0,0.0,3.0,24.0,1.0,24.0,1.0,24/1,24/1,0.0,0.0,0.0,0.0,0.0
