PlayerID,MatchPlayingOrder,BowlerName,OutDesc,ShortOutDesc,Runs,Balls,DotBalls,DotBallPercentage_Bat,DotBallFrequency_Bat,Fours_Bat,Sixes_Bat,BoundaryPercentage_Bat,BoundaryFrequency_Bat,StrikeRate_Bat,AgainstFast_Bat,AgainstSpin_Bat,PlayerShortName,Overs,Runs_bat,Wickets,Economy_bowl,BowlingOrder,TotalLegalBallsBowled,ScoringBalls,DotBalls_bowl,DBPercent _bowl,DBFrequency,Fours_bowl,Sixes_bowl,BdryPercent_bowl,BdryFreq_bowl,StrikeRate,FourPercent_bowl,SixPercent_bowl,MatchID,InningsNo,TeamID,PlayerName
2018-100mb00000000020-9223b16ce99c11,5,Jaydev Unadkat,c Nitish Kumar Reddy b Jaydev Unadkat,c Nitish Kumar Reddy b Jaydev Unadkat,21,16,3,18.75,5.33,0,1,28.57,16.00,131.25,11,5,Washington Sundar,1.0,6.0,0.0,6.0,5.0,6.0,6.0,1.0,16.67,6.00,0.0,0.0,0.00,0,0,0.00,0.00,1849,1,35,Washington Sundar 
2018-100mb00000000033-d93110bbf88911,1,,not out,not out,19,10,1,10.00,10.00,1,1,52.63,5.00,190.00,6,4,Pat Cummins,4.0,40.0,1.0,10.0,3.0,24.0,19.0,6.0,25.00,4.00,3.0,2.0,60.00,4.80,24.00,30.00,30.00,1849,2,20,Pat Cummins (c)
2018-100mb00000000037-4e250de6f88a11,11,Prasidh Krishna,c Rashid Khan b Prasidh Krishna,c Rashid Khan b Prasidh Krishna,20,16,8,50.00,2.00,4,0,80.00,4.00,125.00,16,0,,,,,,,,,,,,,,,,,,,1849,2,20,Travis Head  (IP)
2018-100mb00000000047-1bfc8ff2f88b11,11,,,,0,0,0,,,0,0,,,-,0,0,Mohammad Shami,3.0,48.0,0.0,16.0,1.0,18.0,16.0,2.0,11.11,9.00,7.0,2.0,83.33,2.00,0,58.33,25.00,1849,2,20,Mohammad Shami  (RP)
2018-100mb00000000050-4663b710f88b11,2,,,,0,0,0,,,0,0,,,-,0,0,Ishant Sharma,3.2,35.0,1.0,10.5,2.0,20.0,15.0,7.0,35.00,2.86,3.0,2.0,68.57,4.00,20.00,34.29,34.29,1849,1,35,Ishant Sharma  (IP)
2019-100mb00000000062-8fa4884a17f311,1,Zeeshan Ansari,run out (Harshal Patel),run out (Harshal Patel),76,38,4,10.53,9.50,10,2,68.42,3.17,200.00,26,12,,,,,,,,,,,,,,,,,,,1849,1,35,Shubman Gill (c)
2019-100mb00000000063-d9aa7a01187311,8,,,,0,0,0,,,0,0,,,-,0,0,Mohammed Siraj,4.0,33.0,2.0,8.25,1.0,24.0,16.0,10.0,41.67,2.40,4.0,1.0,66.67,4.80,12.00,48.48,18.18,1849,1,35,Mohammed Siraj 
2019-100mb00000000114-8c98068c449611,8,,,,0,0,0,,,0,0,,,-,0,0,Harshal Patel,3.0,41.0,0.0,13.67,4.0,18.0,17.0,1.0,5.56,18.00,6.0,1.0,73.17,2.57,0,58.54,14.63,1849,2,20,Harshal Patel 
2019-100mb00000000120-7489ddcc449711,6,Jaydev Unadkat,c Aniket Verma b Jaydev Unadkat,c Aniket Verma b Jaydev Unadkat,6,3,2,66.67,1.50,0,1,100.00,3.00,200.00,3,0,,,,,,,,,,,,,,,,,,,1849,1,35,Rahul Tewatia 
2019-100mb00000000150-3a51ee2844a911,11,,,,0,0,0,,,0,0,,,-,0,0,Prasidh Krishna,4.0,19.0,2.0,4.75,3.0,24.0,15.0,10.0,41.67,2.40,1.0,0.0,21.05,24.00,12.00,21.05,0.00,1849,1,35,Prasidh Krishna 
