PlayerID,MatchPlayingOrder,BowlerName,OutDesc,ShortOutDesc,Runs,Balls,DotBalls,DotBallPercentage_Bat,DotBallFrequency_Bat,Fours_Bat,Sixes_Bat,BoundaryPercentage_Bat,BoundaryFrequency_Bat,StrikeRate_Bat,AgainstFast_Bat,AgainstSpin_Bat,PlayerShortName,Overs,Runs_bat,Wickets,Economy_bowl,BowlingOrder,TotalLegalBallsBowled,ScoringBalls,DotBalls_bowl,DBPercent _bowl,DBFrequency,Fours_bowl,Sixes_bowl,BdryPercent_bowl,BdryFreq_bowl,StrikeRate,FourPercent_bowl,SixPercent_bowl,MatchID,InningsNo,TeamID,PlayerName
2018-100mb00000000006-2cf4bba8e99b11,11,Vipraj Nigam,lbw Vipraj Nigam,lbw Vipraj Nigam,18,12,5,41.67,2.40,2,1,77.78,4.00,150.00,9,3,,,,,,,,,,,,,,,,,,,1827,1,17,Rohit Sharma  (RP)
2018-100mb00000000009-92bfdfe9e99b11,11,,,,0,0,0,,,0,0,,,-,0,0,Jasprit Bumrah,4.0,44.0,1.0,11.0,3.0,24.0,14.0,10.0,41.67,2.40,6.0,2.0,81.82,3.00,24.00,54.55,27.27,1827,1,17,Jasprit Bumrah 
2018-100mb00000000014-227bc550e99c11,9,Jasprit Bumrah,run out ((Sub) Raj Angad Bawa),run out ((Sub) Raj Angad Bawa),1,1,0,0.00,,0,0,0.00,,100.00,1,0,Kuldeep Yadav,4.0,23.0,2.0,5.75,4.0,24.0,13.0,11.0,45.83,2.18,3.0,0.0,52.17,8.00,12.00,52.17,0.00,1827,2,14,Kuldeep Yadav 
2018-100mb00000000019-80e59e32e99c11,4,Karn Sharma,c & b Karn Sharma,c & b Karn Sharma,15,13,3,23.08,4.33,1,0,26.67,13.00,115.38,1,12,,,,,,,,,,,,,,,,,,,1827,2,14,K L Rahul (wk)
2018-100mb00000000031-b334eaf6f08611,8,,not out,not out,1,1,0,0.00,,0,0,0.00,,100.00,0,1,Mitchell Starc,3.0,43.0,0.0,14.33,1.0,18.0,14.0,5.0,27.78,3.60,8.0,1.0,88.37,2.00,0,74.42,13.95,1827,2,14,Mitchell Starc 
2018-100mb00000000054-e3ebefa2050a11,1,Vipraj Nigam,c Tristan Stubbs b Vipraj Nigam,c Tristan Stubbs b Vipraj Nigam,2,4,2,50.00,2.00,0,0,0.00,,50.00,0,4,Hardik Pandya,2.0,21.0,0.0,10.5,5.0,12.0,8.0,4.0,33.33,3.00,1.0,2.0,76.19,4.00,0,19.05,57.14,1827,1,17,Hardik Pandya (c)
2019-100mb00000000066-573f78a31e3711,10,,,,0,0,0,,,0,0,,,-,0,0,Trent Boult,2.0,21.0,0.0,10.5,2.0,12.0,8.0,5.0,41.67,2.40,4.0,0.0,76.19,3.00,0,76.19,0.00,1827,1,17,Trent Boult 
2019-100mb00000000075-0984e17e1e4011,8,,,,0,0,0,,,0,0,,,-,0,0,Mitchell Santner,4.0,43.0,2.0,10.75,4.0,24.0,24.0,3.0,12.50,8.00,4.0,1.0,51.16,4.80,12.00,37.21,13.95,1827,1,17,Mitchell Santner 
2019-100mb00000000091-8640595343ec11,9,,,,0,0,0,,,0,0,,,-,0,0,Deepak Chahar,3.0,24.0,1.0,8.0,1.0,18.0,12.0,6.0,33.33,3.00,4.0,0.0,66.67,4.50,18.00,66.67,0.00,1827,1,17,Deepak Chahar 
2019-100mb00000000098-7a8c366b43f611,2,,,,0,0,0,,,0,0,,,-,0,0,Karn Sharma,4.0,36.0,3.0,9.0,6.0,24.0,17.0,8.0,33.33,3.00,3.0,2.0,66.67,4.80,8.00,33.33,33.33,1827,1,17,Karn Sharma  (IP)
2019-100mb00000000100-f196053e43f611,10,Jasprit Bumrah,run out (Mitchell Santner),run out (Mitchell Santner),0,1,1,100.00,1.00,0,0,,,0.00,1,0,Mohit Sharma,3.0,40.0,0.0,13.33,6.0,18.0,16.0,3.0,16.67,6.00,2.0,3.0,65.00,3.60,0,20.00,45.00,1827,2,14,Mohit Sharma 
2019-100mb00000000110-79ae08f5449411,1,Jasprit Bumrah,c Surya Kumar Yadav b Jasprit Bumrah,c Surya Kumar Yadav b Jasprit Bumrah,9,6,3,50.00,2.00,2,0,88.89,3.00,150.00,4,2,Axar Patel,2.0,19.0,0.0,9.5,5.0,12.0,8.0,4.0,33.33,3.00,2.0,1.0,73.68,4.00,0,42.11,31.58,1827,2,14,Axar Patel (c)
2019-100mb00000000131-ce55104a449a11,11,Mitchell Santner,b Mitchell Santner,b Mitchell Santner,89,40,13,32.50,3.08,12,5,87.64,2.35,222.50,30,10,,,,,,,,,,,,,,,,,,,1827,2,14,Karun Nair  (IP)
2019-100mb00000000174-619a804244af11,5,Kuldeep Yadav,c Mitchell Starc b Kuldeep Yadav,c Mitchell Starc b Kuldeep Yadav,40,28,13,46.43,2.15,5,2,80.00,4.00,142.86,7,21,,,,,,,,,,,,,,,,,,,1827,1,17,Surya Kumar Yadav 
2021-100mb00000000743-056fd8cd648611,3,Kuldeep Yadav,b Kuldeep Yadav,b Kuldeep Yadav,41,25,9,36.00,2.78,5,2,78.05,3.57,164.00,18,7,,,,,,,,,,,,,,,,,,,1827,1,17,Ryan Rickelton (wk)
2022-100mb00000000993-60c58f9ea44c11,6,Mukesh Kumar,c Abishek Porel b Mukesh Kumar,c Abishek Porel b Mukesh Kumar,59,33,11,33.33,3.00,6,3,71.19,3.67,178.79,11,22,,,,,,,,,,,,,,,,,,,1827,1,17,N Tilak Varma 
2022-100mb00000001017-3e376712cc7911,5,Karn Sharma,c Naman Dhir b Karn Sharma,c Naman Dhir b Karn Sharma,1,4,3,75.00,1.33,0,0,0.00,,25.00,1,3,,,,,,,,,,,,,,,,,,,1827,2,14,Tristan Stubbs 
2022-100mb00000001462-cbc59298427c11,11,,,,0,0,0,,,0,0,,,-,0,0,Mukesh Kumar,4.0,38.0,1.0,9.5,2.0,24.0,16.0,9.0,37.50,2.67,3.0,2.0,63.16,4.80,24.00,31.58,31.58,1827,2,14,Mukesh Kumar  (RP)
2022-100mb00000001580-2e206f715b5511,3,Karn Sharma,c Naman Dhir b Karn Sharma,c Naman Dhir b Karn Sharma,33,25,7,28.00,3.57,3,1,54.55,6.25,132.00,17,8,,,,,,,,,,,,,,,,,,,1827,2,14,Abishek Porel 
2023-100mb00000001941-9401571cc40411,4,,not out,not out,1,1,0,0.00,,0,0,0.00,,100.00,1,0,,,,,,,,,,,,,,,,,,,1827,1,17,Will Jacks 
2024-100mb00000003107-805cae57df9b11,7,,not out,not out,38,17,2,11.76,8.50,3,2,63.16,3.40,223.53,14,3,,,,,,,,,,,,,,,,,,,1827,1,17,Naman Dhir 
2024-100mb00000003109-b7f98c40df9d11,6,Jasprit Bumrah,run out (Will Jacks),run out (Will Jacks),17,14,3,21.43,4.67,2,0,47.06,7.00,121.43,7,7,,,,,,,,,,,,,,,,,,,1827,2,14,Ashutosh Sharma 
2024-100mb00000003115-5afd8ccce29e11,2,Deepak Chahar,c Will Jacks b Deepak Chahar,c Will Jacks b Deepak Chahar,0,1,1,100.00,1.00,0,0,,,0.00,1,0,,,,,,,,,,,,,,,,,,,1827,2,14,Jake Fraser - McGurk 
2024-100mb00000003560-cd0dc81babd711,7,Mitchell Santner,st Ryan Rickelton b Mitchell Santner,st Ryan Rickelton b Mitchell Santner,14,8,2,25.00,4.00,1,1,71.43,4.00,175.00,3,5,Vipraj Nigam,4.0,41.0,2.0,10.25,3.0,24.0,15.0,10.0,41.67,2.40,3.0,3.0,73.17,4.00,12.00,29.27,43.90,1827,2,14,Vipraj Nigam 
