PlayerID,MatchPlayingOrder,BowlerName,OutDesc,ShortOutDesc,Runs,Balls,DotBalls,DotBallPercentage_Bat,DotBallFrequency_Bat,Fours_Bat,Sixes_Bat,BoundaryPercentage_Bat,BoundaryFrequency_Bat,StrikeRate_Bat,AgainstFast_Bat,AgainstSpin_Bat,PlayerShortName,Overs,Runs_bat,Wickets,Economy_bowl,BowlingOrder,TotalLegalBallsBowled,ScoringBalls,DotBalls_bowl,DBPercent _bowl,DBFrequency,Fours_bowl,Sixes_bowl,BdryPercent_bowl,BdryFreq_bowl,StrikeRate,FourPercent_bowl,SixPercent_bowl,MatchID,InningsNo,TeamID,PlayerName
2018-100mb00000000006-2cf4bba8e99b11,11,Mayank Yadav,c Prince Yadav b Mayank Yadav,c Prince Yadav b Mayank Yadav,12,5,3,60.00,1.67,0,2,100.00,2.50,240.00,5,0,,,,,,,,,,,,,,,,,,,1843,1,17,Rohit Sharma  (RP)
2018-100mb00000000009-92bfdfe9e99b11,3,,,,0,0,0,,,0,0,,,-,0,0,Jasprit Bumrah,4.0,22.0,4.0,5.5,3.0,24.0,11.0,14.0,58.33,1.71,0.0,2.0,54.55,12.00,6.00,0.00,54.55,1843,1,17,Jasprit Bumrah  (IP)
2018-100mb00000000018-6e65e6f7e99c11,1,Will Jacks,c Karn Sharma b Will Jacks,c Karn Sharma b Will Jacks,4,2,1,50.00,2.00,1,0,100.00,2.00,200.00,0,2,,,,,,,,,,,,,,,,,,,1843,2,77,Rishabh Pant (c)(wk)
2018-100mb00000000040-7f15f6c7f88a11,3,Trent Boult,c N Tilak Varma b Trent Boult,c N Tilak Varma b Trent Boult,34,24,9,37.50,2.67,3,2,70.59,4.80,141.67,19,4,,,,,,,,,,,,,,,,,,,1843,2,77,Mitchell Marsh 
2018-100mb00000000054-e3ebefa2050a11,1,Mayank Yadav,b Mayank Yadav,b Mayank Yadav,5,7,3,42.86,2.33,0,0,0.00,,71.43,7,0,Hardik Pandya,1.0,10.0,0.0,10.0,6.0,6.0,4.0,2.0,33.33,3.00,2.0,0.0,80.00,3.00,0,80.00,0.00,1843,1,17,Hardik Pandya (c)
2019-100mb00000000066-573f78a31e3711,10,,,,0,0,0,,,0,0,,,-,0,0,Trent Boult,4.0,20.0,3.0,5.0,1.0,24.0,13.0,11.0,45.83,2.18,2.0,0.0,40.00,12.00,8.00,40.00,0.00,1843,1,17,Trent Boult 
2019-100mb00000000091-8640595343ec11,9,,not out,not out,1,1,0,0.00,,0,0,0.00,,100.00,1,0,Deepak Chahar,3.0,38.0,0.0,12.67,2.0,18.0,12.0,8.0,44.44,2.25,2.0,4.0,84.21,3.00,0,21.05,63.16,1843,1,17,Deepak Chahar 
2019-100mb00000000098-7a8c366b43f611,11,,,,0,0,0,,,0,0,,,-,0,0,Karn Sharma,2.0,25.0,0.0,12.5,5.0,12.0,10.0,2.0,16.67,6.00,1.0,2.0,64.00,4.00,0,16.00,48.00,1843,1,17,Karn Sharma 
2019-100mb00000000109-5cc123ab449411,9,Jasprit Bumrah,b Jasprit Bumrah,b Jasprit Bumrah,0,1,1,100.00,1.00,0,0,,,0.00,1,0,Avesh Khan,4.0,42.0,2.0,10.5,5.0,24.0,18.0,6.0,25.00,4.00,4.0,2.0,66.67,4.00,12.00,38.10,28.57,1843,2,77,Avesh Khan 
2019-100mb00000000128-e95bebea449911,4,Jasprit Bumrah,c Corbin Bosch b Jasprit Bumrah,c Corbin Bosch b Jasprit Bumrah,24,16,5,31.25,3.20,3,0,50.00,5.33,150.00,11,5,,,,,,,,,,,,,,,,,,,1843,2,77,David Miller  (IP)
2019-100mb00000000136-9313d156449c11,11,Will Jacks,c Surya Kumar Yadav b Will Jacks,c Surya Kumar Yadav b Will Jacks,27,15,7,46.67,2.14,1,3,81.48,3.75,180.00,14,1,,,,,,,,,,,,,,,,,,,1843,2,77,Nicholas Pooran  (RP)
2019-100mb00000000174-619a804244af11,5,Avesh Khan,c Mitchell Marsh b Avesh Khan,c Mitchell Marsh b Avesh Khan,54,28,8,28.57,3.50,4,4,74.07,3.50,192.86,18,10,,,,,,,,,,,,,,,,,,,1843,1,17,Surya Kumar Yadav 
2019-100mb00000000287-ca1a6bb17ae311,2,Jasprit Bumrah,c Naman Dhir b Jasprit Bumrah,c Naman Dhir b Jasprit Bumrah,9,11,8,72.73,1.38,2,0,88.89,5.50,81.82,11,0,,,,,,,,,,,,,,,,,,,1843,2,77,Aiden Markram 
2020-100mb00000000520-c2b1e0df638711,7,Corbin Bosch,b Corbin Bosch,b Corbin Bosch,13,14,11,78.57,1.27,0,2,92.31,7.00,92.86,14,0,Ravi Bishnoi,4.0,41.0,1.0,10.25,4.0,24.0,17.0,7.0,29.17,3.43,3.0,3.0,73.17,4.00,24.00,29.27,43.90,1843,2,77,Ravi Bishnoi 
2020-100mb00000000525-4d2e1ac6639511,5,Jasprit Bumrah,b Jasprit Bumrah,b Jasprit Bumrah,2,4,2,50.00,2.00,0,0,0.00,,50.00,4,0,,,,,,,,,,,,,,,,,,,1843,2,77,Abdul Samad 
2021-100mb00000000743-056fd8cd648611,2,Digvesh Singh,c Ayush Badoni b Digvesh Singh,c Ayush Badoni b Digvesh Singh,58,32,12,37.50,2.67,6,4,82.76,3.20,181.25,14,18,,,,,,,,,,,,,,,,,,,1843,1,17,Ryan Rickelton (wk)
2022-100mb00000000985-f5950061a44811,6,Trent Boult,c Will Jacks b Trent Boult,c Will Jacks b Trent Boult,35,22,5,22.73,4.40,2,2,57.14,5.50,159.09,10,12,,,,,,,,,,,,,,,,,,,1843,2,77,Ayush Badoni 
2022-100mb00000000987-e0fbfce6a44911,11,,,,0,0,0,,,0,0,,,-,0,0,Mayank Yadav,4.0,40.0,2.0,10.0,1.0,24.0,16.0,12.0,50.00,2.00,3.0,3.0,75.00,4.00,12.00,30.00,45.00,1843,2,77,Mayank Yadav 
2022-100mb00000000993-60c58f9ea44c11,6,Ravi Bishnoi,c Prince Yadav b Ravi Bishnoi,c Prince Yadav b Ravi Bishnoi,6,5,2,40.00,2.50,1,0,66.67,5.00,120.00,3,2,,,,,,,,,,,,,,,,,,,1843,1,17,N Tilak Varma 
2022-100mb00000001041-53fbf642d3a511,8,Avesh Khan,c Nicholas Pooran b Avesh Khan,c Nicholas Pooran b Avesh Khan,20,10,2,20.00,5.00,2,1,70.00,3.33,200.00,6,4,Corbin Bosch,4.0,26.0,1.0,6.5,7.0,24.0,13.0,14.0,58.33,1.71,2.0,1.0,53.85,8.00,24.00,30.77,23.08,1843,1,17,Corbin Bosch 
