PlayerID,MatchPlayingOrder,BowlerName,OutDesc,ShortOutDesc,Runs,Balls,DotBalls,DotBallPercentage_Bat,DotBallFrequency_Bat,Fours_Bat,Sixes_Bat,BoundaryPercentage_Bat,BoundaryFrequency_Bat,StrikeRate_Bat,AgainstFast_Bat,AgainstSpin_Bat,PlayerShortName,Overs,Runs_bat,Wickets,Economy_bowl,BowlingOrder,TotalLegalBallsBowled,ScoringBalls,DotBalls_bowl,DBPercent _bowl,DBFrequency,Fours_bowl,Sixes_bowl,BdryPercent_bowl,BdryFreq_bowl,StrikeRate,FourPercent_bowl,SixPercent_bowl,MatchID,InningsNo,TeamID,PlayerName
2018-100mb00000000008-787fc4ece99b11,10,,,,0,0,0,,,0,0,,,-,0,0,Khaleel Ahmed,4.0,38.0,2.0,9.5,1.0,24.0,13.0,12.0,50.00,2.00,5.0,2.0,84.21,3.43,12.00,52.63,31.58,1809,2,13,Khaleel Ahmed 
2018-100mb00000000045-f658f1b6f88a11,8,,,,0,0,0,,,0,0,,,-,0,0,Ravichandran Ashwin,4.0,46.0,1.0,11.5,3.0,24.0,19.0,6.0,25.00,4.00,4.0,3.0,73.91,3.43,24.00,34.78,39.13,1809,2,13,Ravichandran Ashwin 
2018-100mb00000000046-06b5ba89f88b11,6,,not out,not out,32,22,3,13.64,7.33,2,1,43.75,7.33,145.45,14,8,Ravindra Jadeja,2.0,10.0,1.0,5.0,6.0,12.0,9.0,3.0,25.00,4.00,0.0,0.0,0.00,0,12.00,0.00,0.00,1809,2,13,Ravindra Jadeja 
2019-100mb00000000057-57100cf415ba11,7,Sandeep Sharma,c Shimron Hetmyer b Sandeep Sharma,c Shimron Hetmyer b Sandeep Sharma,16,11,3,27.27,3.67,1,1,62.50,5.50,145.45,7,4,,,,,,,,,,,,,,,,,,,1809,2,13,MS Dhoni (wk)
2019-100mb00000000061-6d68257c17f311,4,Wanindu Hasaranga,b Wanindu Hasaranga,b Wanindu Hasaranga,9,6,2,33.33,3.00,0,1,66.67,6.00,150.00,0,6,,,,,,,,,,,,,,,,,,,1809,2,13,Vijay Shankar 
2019-100mb00000000102-28e7fca043fc11,1,Wanindu Hasaranga,c Yashasvi Jaiswal b Wanindu Hasaranga,c Yashasvi Jaiswal b Wanindu Hasaranga,63,44,14,31.82,3.14,7,1,53.97,5.50,143.18,22,22,,,,,,,,,,,,,,,,,,,1809,2,13,Ruturaj Gaikwad (c)
2019-100mb00000000148-ef59629644a811,4,Ravichandran Ashwin,st MS Dhoni b Ravichandran Ashwin,st MS Dhoni b Ravichandran Ashwin,81,36,11,30.56,3.27,10,5,86.42,2.40,225.00,19,17,,,,,,,,,,,,,,,,,,,1809,1,18,Nitish Rana 
2019-100mb00000000181-80151ce844b611,8,Khaleel Ahmed,c Ruturaj Gaikwad b Khaleel Ahmed,c Ruturaj Gaikwad b Khaleel Ahmed,0,2,2,100.00,1.00,0,0,,,0.00,2,0,Jofra Archer,3.0,13.0,1.0,4.33,1.0,18.0,5.0,13.0,72.22,1.38,1.0,1.0,76.92,9.00,18.00,30.77,46.15,1809,1,18,Jofra Archer 
2019-100mb00000000188-896b509b44b711,3,Wanindu Hasaranga,c Shimron Hetmyer b Wanindu Hasaranga,c Shimron Hetmyer b Wanindu Hasaranga,23,19,10,52.63,1.90,3,1,78.26,4.75,121.05,15,4,,,,,,,,,,,,,,,,,,,1809,2,13,Rahul Tripathi 
2019-100mb00000000189-ac8c327a44b711,1,Matheesha Pathirana,b Matheesha Pathirana,b Matheesha Pathirana,37,28,9,32.14,3.11,2,2,54.05,7.00,132.14,9,19,,,,,,,,,,,,,,,,,,,1809,1,18,Riyan Parag (c)
