PlayerID,MatchPlayingOrder,BowlerName,OutDesc,ShortOutDesc,Runs,Balls,DotBalls,DotBallPercentage_Bat,DotBallFrequency_Bat,Fours_Bat,Sixes_Bat,BoundaryPercentage_Bat,BoundaryFrequency_Bat,StrikeRate_Bat,AgainstFast_Bat,AgainstSpin_Bat,PlayerShortName,Overs,Runs_bat,Wickets,Economy_bowl,BowlingOrder,TotalLegalBallsBowled,ScoringBalls,DotBalls_bowl,DBPercent _bowl,DBFrequency,Fours_bowl,Sixes_bowl,BdryPercent_bowl,BdryFreq_bowl,StrikeRate,FourPercent_bowl,SixPercent_bowl,MatchID,InningsNo,TeamID,PlayerName
2018-100mb00000000006-2cf4bba8e99b11,11,Mohd Arshad Khan,c Prasidh Krishna b Mohd Arshad Khan,c Prasidh Krishna b Mohd Arshad Khan,7,8,5,62.50,1.60,1,0,57.14,8.00,87.50,8,0,,,,,,,,,,,,,,,,,,,1854,1,17,Rohit Sharma  (RP)
2018-100mb00000000009-92bfdfe9e99b11,11,,,,0,0,0,,,0,0,,,-,0,0,Jasprit Bumrah,4.0,19.0,2.0,4.75,3.0,24.0,10.0,15.0,62.50,1.60,2.0,0.0,42.11,12.00,12.00,42.11,0.00,1854,1,17,Jasprit Bumrah 
2018-100mb00000000054-e3ebefa2050a11,1,Sai Kishore,c Shubman Gill b Sai Kishore,c Shubman Gill b Sai Kishore,1,3,2,66.67,1.50,0,0,0.00,,33.33,0,3,Hardik Pandya,1.0,18.0,0.0,18.0,4.0,6.0,10.0,1.0,16.67,6.00,1.0,1.0,55.56,3.00,0,22.22,33.33,1854,1,17,Hardik Pandya (c)
2019-100mb00000000062-8fa4884a17f311,1,Jasprit Bumrah,b Jasprit Bumrah,b Jasprit Bumrah,43,46,21,45.65,2.19,3,1,41.86,11.50,93.48,37,7,,,,,,,,,,,,,,,,,,,1854,2,35,Shubman Gill (c)
2019-100mb00000000063-d9aa7a01187311,9,,,,0,0,0,,,0,0,,,-,0,0,Mohammed Siraj,3.0,29.0,1.0,9.67,1.0,18.0,11.0,7.0,38.89,2.57,4.0,1.0,75.86,3.60,18.00,55.17,20.69,1854,2,35,Mohammed Siraj 
2019-100mb00000000066-573f78a31e3711,10,,,,0,0,0,,,0,0,,,-,0,0,Trent Boult,4.0,22.0,2.0,5.5,2.0,24.0,13.0,11.0,45.83,2.18,1.0,1.0,45.45,12.00,12.00,18.18,27.27,1854,1,17,Trent Boult 
2019-100mb00000000091-8640595343ec11,9,,not out,not out,8,8,3,37.50,2.67,1,0,50.00,8.00,100.00,6,2,Deepak Chahar,3.0,32.0,1.0,10.67,1.0,18.0,14.0,6.0,33.33,3.00,4.0,1.0,68.75,3.60,18.00,50.00,18.75,1854,1,17,Deepak Chahar 
2019-100mb00000000098-7a8c366b43f611,2,,not out,not out,1,1,0,0.00,,0,0,0.00,,100.00,1,0,Karn Sharma,2.0,13.0,0.0,6.5,5.0,12.0,9.0,3.0,25.00,4.00,1.0,0.0,30.77,12.00,0,30.77,0.00,1854,1,17,Karn Sharma  (IP)
2019-100mb00000000120-7489ddcc449711,5,,not out,not out,11,8,0,0.00,,1,0,36.36,8.00,137.50,8,0,,,,,,,,,,,,,,,,,,,1854,2,35,Rahul Tewatia 
2019-100mb00000000122-ba35f672449711,11,Trent Boult,lbw Trent Boult,lbw Trent Boult,28,15,5,33.33,3.00,2,2,71.43,3.75,186.67,9,6,,,,,,,,,,,,,,,,,,,1854,2,35,Sherfane Rutherford  (IP)
2019-100mb00000000150-3a51ee2844a911,11,,,,0,0,0,,,0,0,,,-,0,0,Prasidh Krishna,4.0,37.0,1.0,9.25,3.0,24.0,14.0,10.0,41.67,2.40,4.0,2.0,75.68,4.00,24.00,43.24,32.43,1854,2,35,Prasidh Krishna  (RP)
2019-100mb00000000174-619a804244af11,5,Sai Kishore,c Shahrukh Khan b Sai Kishore,c Shahrukh Khan b Sai Kishore,35,24,6,25.00,4.00,5,0,57.14,4.80,145.83,9,15,,,,,,,,,,,,,,,,,,,1854,1,17,Surya Kumar Yadav 
2019-100mb00000000182-b78f12ef44b611,3,Ashwani Kumar,c Ryan Rickelton b Ashwani Kumar,c Ryan Rickelton b Ashwani Kumar,30,27,11,40.74,2.45,3,1,60.00,6.75,111.11,22,5,,,,,,,,,,,,,,,,,,,1854,2,35,Jos Buttler (wk)
2019-100mb00000000218-42d9d6f544bf11,7,Ashwani Kumar,lbw Ashwani Kumar,lbw Ashwani Kumar,2,3,2,66.67,1.50,0,0,0.00,,66.67,3,0,Rashid Khan,4.0,21.0,1.0,5.25,5.0,24.0,15.0,9.0,37.50,2.67,2.0,0.0,38.10,12.00,24.00,38.10,0.00,1854,2,35,Rashid Khan 
2020-100mb00000000544-980117aa639c11,6,,,,0,0,0,,,0,0,,,-,0,0,Sai Kishore,4.0,34.0,2.0,8.5,4.0,24.0,20.0,5.0,20.83,4.80,1.0,2.0,47.06,8.00,12.00,11.76,35.29,1854,2,35,Sai Kishore 
2021-100mb00000000590-85eaa6f291e011,4,Jasprit Bumrah,b Jasprit Bumrah,b Jasprit Bumrah,6,6,3,50.00,2.00,1,0,66.67,6.00,100.00,6,0,,,,,,,,,,,,,,,,,,,1854,2,35,Shahrukh Khan 
2021-100mb00000000743-056fd8cd648611,3,Mohammed Siraj,c Sai Sudharsan b Mohammed Siraj,c Sai Sudharsan b Mohammed Siraj,2,2,1,50.00,2.00,0,0,0.00,,100.00,2,0,,,,,,,,,,,,,,,,,,,1854,1,17,Ryan Rickelton (wk)
2022-100mb00000000976-79aa33cca44611,2,Trent Boult,c Ryan Rickelton b Trent Boult,c Ryan Rickelton b Trent Boult,5,5,3,60.00,1.67,1,0,80.00,5.00,100.00,5,0,,,,,,,,,,,,,,,,,,,1854,2,35,Sai Sudharsan 
2022-100mb00000000988-ad5c752aa44a11,8,,not out,not out,1,1,0,0.00,,0,0,0.00,,100.00,1,0,Mohd Arshad Khan,3.0,18.0,1.0,6.0,2.0,18.0,8.0,10.0,55.56,1.80,3.0,0.0,66.67,6.00,18.00,66.67,0.00,1854,2,35,Mohd Arshad Khan 
2022-100mb00000000993-60c58f9ea44c11,6,Gerald Coetzee,c Shubman Gill b Gerald Coetzee,c Shubman Gill b Gerald Coetzee,7,7,1,14.29,7.00,0,0,0.00,,100.00,2,5,,,,,,,,,,,,,,,,,,,1854,1,17,N Tilak Varma 
2022-100mb00000001041-53fbf642d3a511,12,Prasidh Krishna,run out (Rashid Khan),run out (Rashid Khan),27,22,10,45.45,2.20,1,2,59.26,7.33,122.73,18,4,,,,,,,,,,,,,,,,,,,1854,1,17,Corbin Bosch 
2023-100mb00000001941-9401571cc40411,4,Rashid Khan,c Sai Sudharsan b Rashid Khan,c Sai Sudharsan b Rashid Khan,53,35,13,37.14,2.69,5,3,71.70,4.38,151.43,17,18,Will Jacks,1.0,15.0,0.0,15.0,7.0,6.0,4.0,3.0,50.00,2.00,2.0,1.0,93.33,2.00,0,53.33,40.00,1854,1,17,Will Jacks 
2023-100mb00000002535-239c770f61da11,10,Deepak Chahar,c Naman Dhir b Deepak Chahar,c Naman Dhir b Deepak Chahar,12,6,2,33.33,3.00,1,1,83.33,3.00,200.00,5,0,Gerald Coetzee,2.0,10.0,1.0,5.0,6.0,12.0,6.0,6.0,50.00,2.00,1.0,0.0,40.00,12.00,12.00,40.00,0.00,1854,2,35,Gerald Coetzee 
2024-100mb00000003107-805cae57df9b11,7,Prasidh Krishna,c Shubman Gill b Prasidh Krishna,c Shubman Gill b Prasidh Krishna,7,10,6,60.00,1.67,1,0,57.14,10.00,70.00,9,1,,,,,,,,,,,,,,,,,,,1854,1,17,Naman Dhir 
2024-100mb00000003569-45ffd8bdabdc11,8,,,,0,0,0,,,0,0,,,-,0,0,Ashwani Kumar,4.0,28.0,2.0,7.0,6.0,24.0,18.0,6.0,25.00,4.00,1.0,1.0,35.71,12.00,12.00,14.29,21.43,1854,1,17,Ashwani Kumar  (C Sub)
