PlayerID,MatchPlayingOrder,BowlerName,OutDesc,ShortOutDesc,Runs,Balls,DotBalls,DotBallPercentage_Bat,DotBallFrequency_Bat,Fours_Bat,Sixes_Bat,BoundaryPercentage_Bat,BoundaryFrequency_Bat,StrikeRate_Bat,AgainstFast_Bat,AgainstSpin_Bat,PlayerShortName,Overs,Runs_bat,Wickets,Economy_bowl,BowlingOrder,TotalLegalBallsBowled,ScoringBalls,DotBalls_bowl,DBPercent _bowl,DBFrequency,Fours_bowl,Sixes_bowl,BdryPercent_bowl,BdryFreq_bowl,StrikeRate,FourPercent_bowl,SixPercent_bowl,MatchID,InningsNo,TeamID,PlayerName
2018-100mb00000000014-227bc550e99c11,9,,not out,not out,1,1,0,0.00,,0,0,0.00,,100.00,1,0,Kuldeep Yadav,3.0,27.0,0.0,9.0,6.0,18.0,11.0,7.0,38.89,2.57,3.0,1.0,66.67,4.50,0,44.44,22.22,1846,2,14,Kuldeep Yadav 
2018-100mb00000000019-80e59e32e99c11,5,Anukul Roy,run out (Sunil Narine),run out (Sunil Narine),7,5,1,20.00,5.00,1,0,57.14,5.00,140.00,1,4,,,,,,,,,,,,,,,,,,,1846,2,14,K L Rahul 
2018-100mb00000000031-b334eaf6f08611,8,Varun Chakaravarthy,c Rahmanullah Gurbaz b Varun Chakaravarthy,c Rahmanullah Gurbaz b Varun Chakaravarthy,0,1,1,100.00,1.00,0,0,,,0.00,0,1,Mitchell Starc,4.0,43.0,3.0,10.75,1.0,24.0,13.0,12.0,50.00,2.00,5.0,3.0,88.37,3.00,8.00,46.51,41.86,1846,2,14,Mitchell Starc 
2018-100mb00000000044-e03a43dbf88a11,1,Axar Patel,lbw Axar Patel,lbw Axar Patel,26,14,5,35.71,2.80,4,1,84.62,2.80,185.71,10,4,,,,,,,,,,,,,,,,,,,1846,1,16,Ajinkya Rahane (c)
2019-100mb00000000094-1e8fa14543ee11,2,Sunil Narine,c Rinku Singh b Sunil Narine,c Rinku Singh b Sunil Narine,62,45,15,33.33,3.00,7,2,64.52,5.00,137.78,15,29,,,,,,,,,,,,,,,,,,,1846,2,14,Faf Du Plessis 
2019-100mb00000000110-79ae08f5449411,1,Sunil Narine,c Harshit Rana b Sunil Narine,c Harshit Rana b Sunil Narine,43,23,7,30.43,3.29,4,3,79.07,3.29,186.96,7,16,Axar Patel,4.0,27.0,2.0,6.75,5.0,24.0,19.0,6.0,25.00,4.00,2.0,0.0,29.63,12.00,12.00,29.63,0.00,1846,2,14,Axar Patel (c)
2019-100mb00000000131-ce55104a449a11,4,Vaibhav Arora,lbw Vaibhav Arora,lbw Vaibhav Arora,15,13,5,38.46,2.60,2,0,53.33,6.50,115.38,7,6,,,,,,,,,,,,,,,,,,,1846,2,14,Karun Nair 
2019-100mb00000000140-a41b85f2449d11,11,,not out,not out,1,1,0,0.00,,0,0,0.00,,100.00,1,0,Varun Chakaravarthy,4.0,39.0,2.0,9.75,4.0,24.0,17.0,8.0,33.33,3.00,5.0,2.0,82.05,3.43,12.00,51.28,30.77,1846,1,16,Varun Chakaravarthy 
2019-100mb00000000141-e67c41d144a711,7,Mitchell Starc,run out (Abishek Porel),run out (Abishek Porel),17,9,3,33.33,3.00,2,1,82.35,3.00,188.89,8,1,Andre Russell,2.0,22.0,1.0,11.0,6.0,12.0,9.0,5.0,41.67,2.40,4.0,0.0,72.73,3.00,12.00,72.73,0.00,1846,1,16,Andre Russell 
2019-100mb00000000152-335aed3d44aa11,4,Vipraj Nigam,c Mitchell Starc b Vipraj Nigam,c Mitchell Starc b Vipraj Nigam,36,25,6,24.00,4.17,3,1,50.00,6.25,144.00,1,24,,,,,,,,,,,,,,,,,,,1846,1,16,Rinku Singh 
2019-100mb00000000156-a6b6f42c44aa11,6,Vipraj Nigam,lbw Vipraj Nigam,lbw Vipraj Nigam,27,16,6,37.50,2.67,2,2,74.07,4.00,168.75,14,2,Sunil Narine,4.0,29.0,3.0,7.25,5.0,24.0,14.0,10.0,41.67,2.40,0.0,3.0,62.07,8.00,8.00,0.00,62.07,1846,1,16,Sunil Narine 
