PlayerID,MatchPlayingOrder,BowlerName,OutDesc,ShortOutDesc,Runs,Balls,DotBalls,DotBallPercentage_Bat,DotBallFrequency_Bat,Fours_Bat,Sixes_Bat,BoundaryPercentage_Bat,BoundaryFrequency_Bat,StrikeRate_Bat,AgainstFast_Bat,AgainstSpin_Bat,PlayerShortName,Overs,Runs_bat,Wickets,Economy_bowl,BowlingOrder,TotalLegalBallsBowled,ScoringBalls,DotBalls_bowl,DBPercent _bowl,DBFrequency,Fours_bowl,Sixes_bowl,BdryPercent_bowl,BdryFreq_bowl,StrikeRate,FourPercent_bowl,SixPercent_bowl,MatchID,InningsNo,TeamID,PlayerName
2018-100mb00000000010-b76159ade99b11,10,,,,0,0,0,,,0,0,,,-,0,0,Yuzvendra Chahal,4.0,50.0,1.0,12.5,4.0,24.0,19.0,7.0,29.17,3.43,3.0,4.0,72.00,3.43,24.00,24.00,48.00,1852,1,15,Yuzvendra Chahal 
2018-100mb00000000012-ea4c47d2e99b11,1,Digvesh Singh,c Mayank Yadav b Digvesh Singh,c Mayank Yadav b Digvesh Singh,45,25,4,16.00,6.25,4,2,62.22,4.17,180.00,20,5,,,,,,,,,,,,,,,,,,,1852,1,15,Shreyas Iyer (c)
2018-100mb00000000018-6e65e6f7e99c11,1,Azmatullah Omarzai,c Shashank Singh b Azmatullah Omarzai,c Shashank Singh b Azmatullah Omarzai,18,17,11,64.71,1.55,2,1,77.78,5.67,105.88,12,5,,,,,,,,,,,,,,,,,,,1852,2,77,Rishabh Pant (c)(wk)
2018-100mb00000000023-201fd633e99d11,7,,not out,not out,15,5,0,0.00,,1,1,66.67,2.50,300.00,4,1,Marcus Stoinis,1.0,17.0,0.0,17.0,6.0,6.0,8.0,0.0,0.00,0,1.0,1.0,58.82,3.00,0,23.53,35.29,1852,1,15,Marcus Stoinis 
2018-100mb00000000040-7f15f6c7f88a11,7,Arshdeep Singh,c Nehal Wadhera b Arshdeep Singh,c Nehal Wadhera b Arshdeep Singh,0,5,5,100.00,1.00,0,0,,,0.00,5,0,,,,,,,,,,,,,,,,,,,1852,2,77,Mitchell Marsh  (IP)
2019-100mb00000000109-5cc123ab449411,8,,not out,not out,19,10,5,50.00,2.00,3,1,94.74,2.50,190.00,6,4,Avesh Khan,4.0,57.0,0.0,14.25,3.0,24.0,23.0,3.0,12.50,8.00,5.0,3.0,66.67,3.00,0,35.09,31.58,1852,2,77,Avesh Khan 
2019-100mb00000000125-2485f88b449911,11,,,,0,0,0,,,0,0,,,-,0,0,Arshdeep Singh,4.0,16.0,3.0,4.0,1.0,24.0,11.0,14.0,58.33,1.71,1.0,0.0,25.00,24.00,8.00,25.00,0.00,1852,1,15,Arshdeep Singh 
2019-100mb00000000128-e95bebea449911,3,Azmatullah Omarzai,c Shashank Singh b Azmatullah Omarzai,c Shashank Singh b Azmatullah Omarzai,11,8,3,37.50,2.67,0,1,54.55,8.00,137.50,4,4,,,,,,,,,,,,,,,,,,,1852,2,77,David Miller 
2019-100mb00000000136-9313d156449c11,2,Arshdeep Singh,lbw Arshdeep Singh,lbw Arshdeep Singh,6,5,2,40.00,2.50,1,0,66.67,5.00,120.00,5,0,,,,,,,,,,,,,,,,,,,1852,2,77,Nicholas Pooran 
2019-100mb00000000137-d774e3d1449c11,11,Digvesh Singh,c Nicholas Pooran b Digvesh Singh,c Nicholas Pooran b Digvesh Singh,91,48,12,25.00,4.00,6,7,72.53,3.69,189.58,37,11,,,,,,,,,,,,,,,,,,,1852,1,15,Prabhsimran Singh  (RP)
2019-100mb00000000191-df21803b44b711,5,,not out,not out,33,15,1,6.67,15.00,4,1,66.67,3.00,220.00,13,2,,,,,,,,,,,,,,,,,,,1852,1,15,Shashank Singh 
2019-100mb00000000287-ca1a6bb17ae311,4,Arshdeep Singh,b Arshdeep Singh,b Arshdeep Singh,13,10,6,60.00,1.67,1,1,76.92,5.00,130.00,10,0,,,,,,,,,,,,,,,,,,,1852,2,77,Aiden Markram 
2020-100mb00000000525-4d2e1ac6639511,6,Marco Jansen,c & b Marco Jansen,c & b Marco Jansen,45,24,7,29.17,3.43,2,4,71.11,4.00,187.50,20,4,,,,,,,,,,,,,,,,,,,1852,2,77,Abdul Samad 
2020-100mb00000000535-66ae8e79639911,11,,,,0,0,0,,,0,0,,,-,0,0,Akash Singh,4.0,30.0,2.0,7.5,1.0,24.0,15.0,9.0,37.50,2.67,3.0,1.0,60.00,6.00,12.00,40.00,20.00,1852,2,77,Akash Singh  (RP)
2021-100mb00000000586-8238f85f91de11,9,,,,0,0,0,,,0,0,,,-,0,0,Marco Jansen,4.0,31.0,1.0,7.75,2.0,24.0,11.0,14.0,58.33,1.71,3.0,2.0,77.42,4.80,24.00,38.71,38.71,1852,1,15,Marco Jansen 
2021-100mb00000000647-9259e0ee2fe911,4,Akash Singh,c David Miller b Akash Singh,c David Miller b Akash Singh,30,14,7,50.00,2.00,1,4,93.33,2.80,214.29,14,0,,,,,,,,,,,,,,,,,,,1852,1,15,Josh Inglis (wk)
2022-100mb00000000985-f5950061a44811,5,Yuzvendra Chahal,c Arshdeep Singh b Yuzvendra Chahal,c Arshdeep Singh b Yuzvendra Chahal,74,40,11,27.50,3.64,5,5,67.57,4.00,185.00,34,6,,,,,,,,,,,,,,,,,,,1852,2,77,Ayush Badoni 
2022-100mb00000000987-e0fbfce6a44911,9,,,,0,0,0,,,0,0,,,-,0,0,Mayank Yadav,4.0,60.0,0.0,15.0,2.0,24.0,19.0,6.0,25.00,4.00,3.0,6.0,80.00,2.67,0,20.00,60.00,1852,2,77,Mayank Yadav 
2022-100mb00000001225-8dbd714d040c11,10,,not out,not out,1,1,0,0.00,,0,0,0.00,,100.00,0,1,Prince Yadav,4.0,43.0,1.0,10.75,5.0,24.0,18.0,7.0,29.17,3.43,3.0,3.0,69.77,4.00,24.00,27.91,41.86,1852,2,77,Prince Yadav 
2022-100mb00000001354-5a766b041e0411,8,,,,0,0,0,,,0,0,,,-,0,0,Azmatullah Omarzai,4.0,33.0,2.0,8.25,3.0,24.0,14.0,12.0,50.00,2.00,2.0,2.0,60.61,6.00,12.00,24.24,36.36,1852,1,15,Azmatullah Omarzai 
2022-100mb00000001541-e0ad58e954e911,6,Prince Yadav,b Prince Yadav,b Prince Yadav,16,9,4,44.44,2.25,2,1,87.50,3.00,177.78,4,5,,,,,,,,,,,,,,,,,,,1852,1,15,Nehal Wadhera 
2023-100mb00000002034-c2959cc8d5eb11,2,,,,0,0,0,,,0,0,,,-,0,0,Vyshak Vijaykumar,3.0,49.0,0.0,16.33,5.0,18.0,15.0,3.0,16.67,6.00,4.0,4.0,81.63,2.25,0,32.65,48.98,1852,1,15,Vyshak Vijaykumar  (IP)
2024-100mb00000003565-6cf0c233abda11,11,,,,0,0,0,,,0,0,,,-,0,0,Digvesh Singh,4.0,46.0,2.0,11.5,4.0,24.0,19.0,6.0,25.00,4.00,4.0,3.0,73.91,3.43,12.00,34.78,39.13,1852,2,77,Digvesh Singh 
2024-100mb00000003571-3dc322afabdd11,3,Akash Singh,c Mayank Yadav b Akash Singh,c Mayank Yadav b Akash Singh,1,4,3,75.00,1.33,0,0,0.00,,25.00,4,0,,,,,,,,,,,,,,,,,,,1852,1,15,Priyansh Arya 
