PlayerID,MatchPlayingOrder,BowlerName,OutDesc,ShortOutDesc,Runs,Balls,DotBalls,DotBallPercentage_Bat,DotBallFrequency_Bat,Fours_Bat,Sixes_Bat,BoundaryPercentage_Bat,BoundaryFrequency_Bat,StrikeRate_Bat,AgainstFast_Bat,AgainstSpin_Bat,PlayerShortName,Overs,Runs_bat,Wickets,Economy_bowl,BowlingOrder,TotalLegalBallsBowled,ScoringBalls,DotBalls_bowl,DBPercent _bowl,DBFrequency,Fours_bowl,Sixes_bowl,BdryPercent_bowl,BdryFreq_bowl,StrikeRate,FourPercent_bowl,SixPercent_bowl,MatchID,InningsNo,TeamID,PlayerName
2018-100mb00000000014-227bc550e99c11,9,,,,0,0,0,,,0,0,,,-,0,0,Kuldeep Yadav,4.0,22.0,3.0,5.5,6.0,24.0,11.0,13.0,54.17,1.85,0.0,2.0,54.55,12.00,8.00,0.00,54.55,1808,2,14,Kuldeep Yadav 
2018-100mb00000000019-80e59e32e99c11,5,Zeeshan Ansari,b Zeeshan Ansari,b Zeeshan Ansari,15,5,1,20.00,5.00,2,1,93.33,1.67,300.00,4,1,,,,,,,,,,,,,,,,,,,1808,2,14,K L Rahul (wk)
2018-100mb00000000031-b334eaf6f08611,8,,,,0,0,0,,,0,0,,,-,0,0,Mitchell Starc,3.4,35.0,5.0,9.55,1.0,22.0,12.0,12.0,54.55,1.83,5.0,1.0,74.29,3.67,4.40,57.14,17.14,1808,2,14,Mitchell Starc 
2018-100mb00000000033-d93110bbf88911,1,Kuldeep Yadav,c Jake Fraser - McGurk b Kuldeep Yadav,c Jake Fraser - McGurk b Kuldeep Yadav,2,7,5,71.43,1.40,0,0,0.00,,28.57,0,7,Pat Cummins,2.0,27.0,0.0,13.5,3.0,12.0,10.0,2.0,16.67,6.00,3.0,1.0,66.67,3.00,0,44.44,22.22,1808,1,20,Pat Cummins (c)
2018-100mb00000000037-4e250de6f88a11,11,Mitchell Starc,c K L Rahul b Mitchell Starc,c K L Rahul b Mitchell Starc,22,12,3,25.00,4.00,4,0,72.73,3.00,183.33,12,0,,,,,,,,,,,,,,,,,,,1808,1,20,Travis Head  (RP)
2018-100mb00000000047-1bfc8ff2f88b11,11,,not out,not out,1,1,0,0.00,,0,0,0.00,,100.00,1,0,Mohammad Shami,3.0,31.0,0.0,10.33,1.0,18.0,12.0,7.0,38.89,2.57,4.0,2.0,90.32,3.00,0,51.61,38.71,1808,1,20,Mohammad Shami 
2019-100mb00000000094-1e8fa14543ee11,2,Zeeshan Ansari,c Wiaan Mulder b Zeeshan Ansari,c Wiaan Mulder b Zeeshan Ansari,50,27,5,18.52,5.40,3,3,60.00,4.50,185.19,17,10,,,,,,,,,,,,,,,,,,,1808,2,14,Faf Du Plessis 
2019-100mb00000000100-f196053e43f611,10,,,,0,0,0,,,0,0,,,-,0,0,Mohit Sharma,3.0,25.0,1.0,8.33,5.0,18.0,15.0,4.0,22.22,4.50,3.0,0.0,48.00,6.00,18.00,48.00,0.00,1808,2,14,Mohit Sharma 
2019-100mb00000000110-79ae08f5449411,1,,,,0,0,0,,,0,0,,,-,0,0,Axar Patel,4.0,43.0,0.0,10.75,3.0,24.0,17.0,7.0,29.17,3.43,2.0,4.0,74.42,4.00,0,18.60,55.81,1808,2,14,Axar Patel (c)
2019-100mb00000000114-8c98068c449611,10,Mitchell Starc,c Axar Patel b Mitchell Starc,c Axar Patel b Mitchell Starc,5,9,4,44.44,2.25,0,0,0.00,,55.56,4,5,Harshal Patel,3.0,17.0,0.0,5.67,4.0,18.0,12.0,7.0,38.89,2.57,1.0,0.0,23.53,18.00,0,23.53,0.00,1808,1,20,Harshal Patel 
2019-100mb00000000164-8ae075db44ad11,4,Mitchell Starc,c Tristan Stubbs b Mitchell Starc,c Tristan Stubbs b Mitchell Starc,2,5,3,60.00,1.67,0,0,0.00,,40.00,5,0,,,,,,,,,,,,,,,,,,,1808,1,20,Ishan Kishan 
2019-100mb00000000202-438eed6944ba11,6,Mohit Sharma,c Vipraj Nigam b Mohit Sharma,c Vipraj Nigam b Mohit Sharma,32,19,3,15.79,6.33,2,2,62.50,4.75,168.42,8,9,,,,,,,,,,,,,,,,,,,1808,1,20,Heinrich Klaasen (wk)
2019-100mb00000000212-9df3a24d44bc11,3,Mitchell Starc,run out (Vipraj Nigam),run out (Vipraj Nigam),1,1,0,0.00,,0,0,0.00,,100.00,1,0,Abhishek Sharma,3.0,27.0,0.0,9.0,2.0,18.0,14.0,4.0,22.22,4.50,1.0,2.0,59.26,6.00,0,14.81,44.44,1808,1,20,Abhishek Sharma 
2021-100mb00000000630-4155e6ff0bd311,2,Mitchell Starc,c Faf Du Plessis b Mitchell Starc,c Faf Du Plessis b Mitchell Starc,9,11,5,45.45,2.20,1,0,44.44,11.00,81.82,5,6,Wiaan Mulder,1.0,16.0,0.0,16.0,6.0,6.0,5.0,1.0,16.67,6.00,2.0,1.0,87.50,2.00,0,50.00,37.50,1808,1,20,Wiaan Mulder  (IP)
2022-100mb00000000974-314d9cf0a44611,8,Kuldeep Yadav,c Faf Du Plessis b Kuldeep Yadav,c Faf Du Plessis b Kuldeep Yadav,4,6,3,50.00,2.00,0,0,0.00,,66.67,1,5,,,,,,,,,,,,,,,,,,,1808,1,20,Abhinav Manohar 
2022-100mb00000001017-3e376712cc7911,6,,not out,not out,21,14,2,14.29,7.00,3,0,57.14,4.67,150.00,8,6,,,,,,,,,,,,,,,,,,,1808,2,14,Tristan Stubbs 
2022-100mb00000001462-cbc59298427c11,11,,,,0,0,0,,,0,0,,,-,0,0,Mukesh Kumar,2.0,17.0,0.0,8.5,2.0,12.0,11.0,3.0,25.00,4.00,2.0,0.0,47.06,6.00,0,47.06,0.00,1808,2,14,Mukesh Kumar 
2022-100mb00000001580-2e206f715b5511,4,,not out,not out,34,18,0,0.00,,2,2,58.82,4.50,188.89,6,12,,,,,,,,,,,,,,,,,,,1808,2,14,Abishek Porel 
2023-100mb00000001944-c9a4b0e8c40511,5,Mitchell Starc,c Axar Patel b Mitchell Starc,c Axar Patel b Mitchell Starc,0,2,2,100.00,1.00,0,0,,,0.00,2,0,,,,,,,,,,,,,,,,,,,1808,1,20,Nitish Kumar Reddy 
2024-100mb00000003115-5afd8ccce29e11,3,Zeeshan Ansari,c & b Zeeshan Ansari,c & b Zeeshan Ansari,38,32,18,56.25,1.78,4,2,73.68,5.33,118.75,19,13,,,,,,,,,,,,,,,,,,,1808,2,14,Jake Fraser - McGurk 
2024-100mb00000003560-cd0dc81babd711,7,,,,0,0,0,,,0,0,,,-,0,0,Vipraj Nigam,2.0,21.0,0.0,10.5,4.0,12.0,12.0,2.0,16.67,6.00,1.0,1.0,47.62,6.00,0,19.05,28.57,1808,2,14,Vipraj Nigam 
2024-100mb00000003575-83bb5544abdf11,9,,,,0,0,0,,,0,0,,,-,0,0,Zeeshan Ansari,4.0,42.0,3.0,10.5,5.0,24.0,19.0,5.0,20.83,4.80,4.0,2.0,66.67,4.00,8.00,38.10,28.57,1808,1,20,Zeeshan Ansari 
2024-100mb00000003576-caeb1dadabdf11,7,Kuldeep Yadav,c Jake Fraser - McGurk b Kuldeep Yadav,c Jake Fraser - McGurk b Kuldeep Yadav,74,41,13,31.71,3.15,5,6,75.68,3.73,180.49,13,28,,,,,,,,,,,,,,,,,,,1808,1,20,Aniket Verma 
