PlayerID,MatchPlayingOrder,BowlerName,OutDesc,ShortOutDesc,Runs,Balls,DotBalls,DotBallPercentage_Bat,DotBallFrequency_Bat,Fours_Bat,Sixes_Bat,BoundaryPercentage_Bat,BoundaryFrequency_Bat,StrikeRate_Bat,AgainstFast_Bat,AgainstSpin_Bat,PlayerShortName,Overs,Runs_bat,Wickets,Economy_bowl,BowlingOrder,TotalLegalBallsBowled,ScoringBalls,DotBalls_bowl,DBPercent _bowl,DBFrequency,Fours_bowl,Sixes_bowl,BdryPercent_bowl,BdryFreq_bowl,StrikeRate,FourPercent_bowl,SixPercent_bowl,MatchID,InningsNo,TeamID,PlayerName
2018-100mb00000000024-431d2bf7e99d11,2,,,,0,0,0,,,0,0,,,-,0,0,Adam Zampa,4.0,48.0,1.0,12.0,5.0,24.0,18.0,7.0,29.17,3.43,3.0,4.0,75.00,3.43,24.00,25.00,50.00,1800,1,20,Adam Zampa  (IP)
2018-100mb00000000033-d93110bbf88911,1,,not out,not out,0,1,1,100.00,1.00,0,0,,,0.00,1,0,Pat Cummins,4.0,60.0,0.0,15.0,3.0,24.0,22.0,4.0,16.67,6.00,3.0,5.0,70.00,3.00,0,20.00,50.00,1800,1,20,Pat Cummins (c)
2018-100mb00000000037-4e250de6f88a11,11,Tushar Deshpande,c Shimron Hetmyer b Tushar Deshpande,c Shimron Hetmyer b Tushar Deshpande,67,31,9,29.03,3.44,9,3,80.60,2.58,216.13,17,12,,,,,,,,,,,,,,,,,,,1800,1,20,Travis Head  (RP)
2018-100mb00000000047-1bfc8ff2f88b11,11,,,,0,0,0,,,0,0,,,-,0,0,Mohammad Shami,3.0,33.0,1.0,11.0,1.0,18.0,11.0,8.0,44.44,2.25,5.0,1.0,78.79,3.00,18.00,60.61,18.18,1800,1,20,Mohammad Shami 
2019-100mb00000000114-8c98068c449611,10,,,,0,0,0,,,0,0,,,-,0,0,Harshal Patel,4.0,34.0,2.0,8.5,6.0,24.0,19.0,7.0,29.17,3.43,0.0,3.0,52.94,8.00,12.00,0.00,52.94,1800,1,20,Harshal Patel 
2019-100mb00000000148-ef59629644a811,4,Mohammad Shami,c Pat Cummins b Mohammad Shami,c Pat Cummins b Mohammad Shami,11,8,4,50.00,2.00,2,0,72.73,4.00,137.50,8,0,Nitish Rana,1.0,9.0,0.0,9.0,5.0,6.0,6.0,0.0,0.00,0,1.0,0.0,44.44,6.00,0,44.44,0.00,1800,2,18,Nitish Rana 
2019-100mb00000000164-8ae075db44ad11,4,,not out,not out,106,47,8,17.02,5.88,11,6,75.47,2.76,225.53,32,14,,,,,,,,,,,,,,,,,,,1800,1,20,Ishan Kishan 
2019-100mb00000000181-80151ce844b611,7,,not out,not out,1,1,0,0.00,,0,0,0.00,,100.00,1,0,Jofra Archer,4.0,76.0,0.0,19.0,3.0,24.0,25.0,1.0,4.17,24.00,11.0,4.0,89.47,1.60,0,57.89,31.58,1800,2,18,Jofra Archer 
2019-100mb00000000189-ac8c327a44b711,1,Simarjeet Singh,c Pat Cummins b Simarjeet Singh,c Pat Cummins b Simarjeet Singh,4,2,1,50.00,2.00,1,0,100.00,2.00,200.00,2,0,,,,,,,,,,,,,,,,,,,1800,2,18,Riyan Parag (c)
2019-100mb00000000190-c62cbae544b711,11,Harshal Patel,c Heinrich Klaasen b Harshal Patel,c Heinrich Klaasen b Harshal Patel,66,37,13,35.14,2.85,7,4,78.79,3.36,178.38,24,12,,,,,,,,,,,,,,,,,,,1800,2,18,Sanju Samson  (IP)
2019-100mb00000000202-438eed6944ba11,6,Sandeep Sharma,c Riyan Parag b Sandeep Sharma,c Riyan Parag b Sandeep Sharma,34,14,2,14.29,7.00,5,1,76.47,2.33,242.86,13,1,,,,,,,,,,,,,,,,,,,1800,1,20,Heinrich Klaasen (wk)
2019-100mb00000000210-b8addb3444bb11,6,Harshal Patel,c Abhinav Manohar b Harshal Patel,c Abhinav Manohar b Harshal Patel,42,23,7,30.43,3.29,1,4,66.67,4.60,182.61,16,7,,,,,,,,,,,,,,,,,,,1800,2,18,Shimron Hetmyer 
