PlayerID,MatchPlayingOrder,BowlerName,OutDesc,ShortOutDesc,Runs,Balls,DotBalls,DotBallPercentage_Bat,DotBallFrequency_Bat,Fours_Bat,Sixes_Bat,BoundaryPercentage_Bat,BoundaryFrequency_Bat,StrikeRate_Bat,AgainstFast_Bat,AgainstSpin_Bat,PlayerShortName,Overs,Runs_bat,Wickets,Economy_bowl,BowlingOrder,TotalLegalBallsBowled,ScoringBalls,DotBalls_bowl,DBPercent _bowl,DBFrequency,Fours_bowl,Sixes_bowl,BdryPercent_bowl,BdryFreq_bowl,StrikeRate,FourPercent_bowl,SixPercent_bowl,MatchID,InningsNo,TeamID,PlayerName
2018-100mb00000000008-787fc4ece99b11,9,,,,0,0,0,,,0,0,,,-,0,0,Khaleel Ahmed,3.0,65.0,0.0,21.67,1.0,18.0,14.0,5.0,27.78,3.60,5.0,7.0,95.38,1.50,0,30.77,64.62,1850,2,13,Khaleel Ahmed 
2018-100mb00000000015-3501d442e99c11,9,,,,0,0,0,,,0,0,,,-,0,0,Bhuvneshwar Kumar,4.0,55.0,0.0,13.75,2.0,24.0,19.0,5.0,20.83,4.80,7.0,3.0,83.64,2.40,0,50.91,32.73,1850,1,19,Bhuvneshwar Kumar 
2018-100mb00000000017-5e389774e99c11,8,,,,0,0,0,,,0,0,,,-,0,0,Krunal Pandya,3.0,24.0,1.0,8.0,1.0,18.0,13.0,5.0,27.78,3.60,2.0,1.0,58.33,6.00,18.00,33.33,25.00,1850,1,19,Krunal Pandya 
2018-100mb00000000046-06b5ba89f88b11,5,,not out,not out,77,45,6,13.33,7.50,8,2,57.14,4.50,171.11,29,16,Ravindra Jadeja,3.0,26.0,0.0,8.67,4.0,18.0,12.0,7.0,38.89,2.57,3.0,1.0,69.23,4.50,0,46.15,23.08,1850,2,13,Ravindra Jadeja 
2018-wicb00000000002-47ea5a6ae99a11,3,Sam Curran,c Khaleel Ahmed b Sam Curran,c Khaleel Ahmed b Sam Curran,62,33,11,33.33,3.00,5,5,80.65,3.30,187.88,21,12,,,,,,,,,,,,,,,,,,,1850,1,19,Virat Kohli 
2019-100mb00000000057-57100cf415ba11,1,Yash Dayal,lbw Yash Dayal,lbw Yash Dayal,12,8,1,12.50,8.00,0,1,50.00,8.00,150.00,6,2,,,,,,,,,,,,,,,,,,,1850,2,13,MS Dhoni (c)(wk)
2019-100mb00000000099-b2d4548e43f611,10,,,,0,0,0,,,0,0,,,-,0,0,Lungisani Ngidi,4.0,30.0,3.0,7.5,4.0,24.0,15.0,9.0,37.50,2.67,3.0,1.0,60.00,6.00,8.00,40.00,20.00,1850,1,19,Lungisani Ngidi 
2019-100mb00000000138-5bd8fcf6449d11,4,Lungisani Ngidi,c Jitesh Sharma b Lungisani Ngidi,c Jitesh Sharma b Lungisani Ngidi,5,5,3,60.00,1.67,1,0,80.00,5.00,100.00,3,2,Sam Curran,3.0,34.0,1.0,11.33,5.0,18.0,15.0,3.0,16.67,6.00,3.0,2.0,70.59,3.60,18.00,35.29,35.29,1850,2,13,Sam Curran 
2019-100mb00000000200-1283ad3244ba11,11,Matheesha Pathirana,c Ravindra Jadeja b Matheesha Pathirana,c Ravindra Jadeja b Matheesha Pathirana,17,15,6,40.00,2.50,1,1,58.82,7.50,113.33,9,6,,,,,,,,,,,,,,,,,,,1850,1,19,Devdutt Padikkal  (RP)
2019-100mb00000000211-dc1f6a2544bb11,11,,not out,not out,8,3,0,0.00,,0,1,75.00,3.00,266.67,2,0,,,,,,,,,,,,,,,,,,,1850,2,13,Shivam Dube  (IP)
2019-100mb00000000215-f86e728844bc11,7,,,,0,0,0,,,0,0,,,-,0,0,,,,,,,,,,,,,,,,,,,1850,2,13,Deepak Hooda 
